individual_id,species,population,river,habitat,TL_mm,landmark,x,y
Cichl_Tap_02,Cichla_ocellaris,Tapajos,Tapajos,fast,622.7078312543345,8,0.6558,0.0812
Cichl_Tap_02,Cichla_ocellaris,Tapajos,Tapajos,fast,538.5070694418885,9,0.8993,0.6075
Cichl_Tap_02,Cichla_ocellaris,Tapajos,Tapajos,fast,520.0407473332956,10,0.8834,0.4404
Cichl_Tap_02,Cichla_ocellaris,Tapajos,Tapajos,fast,438.95381226176005,11,1.1648,0.7181
Cichl_Tap_02,Cichla_ocellaris,Tapajos,Tapajos,fast,626.4457573579979,12,1.1723,0.2806
Cichl_Tap_03,Cichla_ocellaris,Tapajos,Tapajos,fast,504.6120322488088,1,-0.0019,0.603
Cichl_Tap_03,Cichla_ocellaris,Tapajos,Tapajos,fast,592.7335636668847,2,0.1232,0.4634
Cichl_Tap_03,Cichla_ocellaris,Tapajos,Tapajos,fast,546.7912989924581,3,0.1597,0.5999
Cichl_Tap_03,Cichla_ocellaris,Tapajos,Tapajos,fast,533.9527568225878,4,0.252,0.6273
Cichl_Tap_03,Cichla_ocellaris,Tapajos,Tapajos,fast,489.670803652819,5,0.368,0.8478
Cichl_Tap_03,Cichla_ocellaris,Tapajos,Tapajos,fast,512.6412051573744,6,0.3546,0.2485
Cichl_Tap_03,Cichla_ocellaris,Tapajos,Tapajos,fast,521.7766050888746,7,0.5912,0.9325
Cichl_Tap_03,Cichla_ocellaris,Tapajos,Tapajos,fast,535.0943320674845,8,0.7034,0.1051
Cichl_Tap_03,Cichla_ocellaris,Tapajos,Tapajos,fast,520.8170488771447,9,0.9416,0.6101
Cichl_Tap_03,Cichla_ocellaris,Tapajos,Tapajos,fast,585.3313152095373,10,0.9383,0.4449
Cichl_Tap_03,Cichla_ocellaris,Tapajos,Tapajos,fast,500.4522411487734,11,1.2631,0.7067
Cichl_Tap_03,Cichla_ocellaris,Tapajos,Tapajos,fast,609.2936359042747,12,1.2479,0.2872
Cichl_Tap_04,Cichla_ocellaris,Tapajos,Tapajos,fast,612.0044029307692,1,0.0236,0.607
Cichl_Tap_04,Cichla_ocellaris,Tapajos,Tapajos,fast,418.15675707877415,2,0.1233,0.438
Cichl_Tap_04,Cichla_ocellaris,Tapajos,Tapajos,fast,490.81551318838547,3,0.1709,0.6336
Cichl_Tap_04,Cichla_ocellaris,Tapajos,Tapajos,fast,598.1296958580589,4,0.2426,0.6264
Cichl_Tap_04,Cichla_ocellaris,Tapajos,Tapajos,fast,466.4494716200985,5,0.4032,0.8591
Cichl_Tap_04,Cichla_ocellaris,Tapajos,Tapajos,fast,475.0846442412837,6,0.3755,0.2401
Cichl_Tap_04,Cichla_ocellaris,Tapajos,Tapajos,fast,497.91061165969006,7,0.6255,0.9259
Cichl_Tap_04,Cichla_ocellaris,Tapajos,Tapajos,fast,460.91920329221693,8,0.7431,0.0835
Cichl_Tap_04,Cichla_ocellaris,Tapajos,Tapajos,fast,585.9957717635176,9,1.0188,0.6106
Cichl_Tap_04,Cichla_ocellaris,Tapajos,Tapajos,fast,539.3940832015376,10,0.9935,0.442
Cichl_Tap_04,Cichla_ocellaris,Tapajos,Tapajos,fast,474.24160597955535,11,1.3388,0.6915
Cichl_Tap_04,Cichla_ocellaris,Tapajos,Tapajos,fast,548.3502671266144,12,1.3334,0.2921
Cichl_Tap_05,Cichla_ocellaris,Tapajos,Tapajos,fast,565.6957958912664,1,0.0183,0.62
Cichl_Tap_05,Cichla_ocellaris,Tapajos,Tapajos,fast,607.3703556834198,2,0.1024,0.4472
Cichl_Tap_05,Cichla_ocellaris,Tapajos,Tapajos,fast,581.1461083792937,3,0.1401,0.6174
Cichl_Tap_05,Cichla_ocellaris,Tapajos,Tapajos,fast,588.9512869254728,4,0.2175,0.636
Cichl_Tap_05,Cichla_ocellaris,Tapajos,Tapajos,fast,443.4244077992773,5,0.3337,0.8231
Cichl_Tap_05,Cichla_ocellaris,Tapajos,Tapajos,fast,417.8025156675384,6,0.3682,0.2604
Cichl_Tap_05,Cichla_ocellaris,Tapajos,Tapajos,fast,614.5384901158075,7,0.5736,0.9411
Cichl_Tap_05,Cichla_ocellaris,Tapajos,Tapajos,fast,540.6135819154774,8,0.7209,0.1159
Cichl_Tap_05,Cichla_ocellaris,Tapajos,Tapajos,fast,476.70016411189226,9,0.9565,0.6178
Cichl_Tap_05,Cichla_ocellaris,Tapajos,Tapajos,fast,613.4367480546642,10,0.9415,0.4244
Cichl_Tap_05,Cichla_ocellaris,Tapajos,Tapajos,fast,463.0983711550905,11,1.2615,0.7195
Cichl_Tap_05,Cichla_ocellaris,Tapajos,Tapajos,fast,468.9423695079898,12,1.2606,0.3001
Cichl_Tap_06,Cichla_ocellaris,Tapajos,Tapajos,fast,409.0186739008297,1,-0.0056,0.5944
Cichl_Tap_06,Cichla_ocellaris,Tapajos,Tapajos,fast,569.2001196959,2,0.102,0.4432
Cichl_Tap_06,Cichla_ocellaris,Tapajos,Tapajos,fast,554.0188733492987,3,0.1568,0.6385
Cichl_Tap_06,Cichla_ocellaris,Tapajos,Tapajos,fast,432.9635577805966,4,0.2151,0.6243
Cichl_Tap_06,Cichla_ocellaris,Tapajos,Tapajos,fast,442.72569259828924,5,0.3206,0.8348
Cichl_Tap_06,Cichla_ocellaris,Tapajos,Tapajos,fast,565.2665039777272,6,0.2944,0.2445
Cichl_Tap_06,Cichla_ocellaris,Tapajos,Tapajos,fast,434.0496286421996,7,0.5263,0.9169
Cichl_Tap_06,Cichla_ocellaris,Tapajos,Tapajos,fast,417.15768546298557,8,0.6425,0.1063
Cichl_Tap_06,Cichla_ocellaris,Tapajos,Tapajos,fast,501.4031790948776,9,0.8347,0.6488
Cichl_Tap_06,Cichla_ocellaris,Tapajos,Tapajos,fast,441.5386074385028,10,0.8463,0.4353
Cichl_Tap_06,Cichla_ocellaris,Tapajos,Tapajos,fast,454.602510871878,11,1.1107,0.7305
Cichl_Tap_06,Cichla_ocellaris,Tapajos,Tapajos,fast,536.9367331928555,12,1.1232,0.2973
Cichl_Tap_07,Cichla_ocellaris,Tapajos,Tapajos,fast,482.8222324170731,1,0.0177,0.5988
Cichl_Tap_07,Cichla_ocellaris,Tapajos,Tapajos,fast,541.0683164585871,2,0.1188,0.4469
Cichl_Tap_07,Cichla_ocellaris,Tapajos,Tapajos,fast,442.372390374701,3,0.1469,0.6201
Cichl_Tap_07,Cichla_ocellaris,Tapajos,Tapajos,fast,619.900713757596,4,0.2581,0.6142
Cichl_Tap_07,Cichla_ocellaris,Tapajos,Tapajos,fast,448.6411082011209,5,0.3648,0.8721
Cichl_Tap_07,Cichla_ocellaris,Tapajos,Tapajos,fast,547.6443257771257,6,0.3945,0.2516
Cichl_Tap_07,Cichla_ocellaris,Tapajos,Tapajos,fast,446.077603314028,7,0.6305,0.9317
Cichl_Tap_07,Cichla_ocellaris,Tapajos,Tapajos,fast,477.5349102167736,8,0.7337,0.0913
Cichl_Tap_07,Cichla_ocellaris,Tapajos,Tapajos,fast,483.79459238055654,9,1.0089,0.6052
Cichl_Tap_07,Cichla_ocellaris,Tapajos,Tapajos,fast,626.4821663709994,10,1.0015,0.4352
Cichl_Tap_07,Cichla_ocellaris,Tapajos,Tapajos,fast,601.823870837847,11,1.3015,0.7279
Cichl_Tap_07,Cichla_ocellaris,Tapajos,Tapajos,fast,507.7866216169761,12,1.3051,0.277
Cichl_Tap_08,Cichla_ocellaris,Tapajos,Tapajos,fast,588.4810822099643,1,-0.0102,0.6065
Cichl_Tap_08,Cichla_ocellaris,Tapajos,Tapajos,fast,514.4136407496884,2,0.1388,0.432
Cichl_Tap_08,Cichla_ocellaris,Tapajos,Tapajos,fast,504.7456141953677,3,0.1641,0.6147
Cichl_Tap_08,Cichla_ocellaris,Tapajos,Tapajos,fast,429.0123807506597,4,0.2261,0.6538
Cichl_Tap_08,Cichla_ocellaris,Tapajos,Tapajos,fast,433.9495295710219,5,0.3927,0.8433
Cichl_Tap_08,Cichla_ocellaris,Tapajos,Tapajos,fast,610.7300871768731,6,0.4087,0.2519
Cichl_Tap_08,Cichla_ocellaris,Tapajos,Tapajos,fast,565.0372851136003,7,0.6432,0.9345
Cichl_Tap_08,Cichla_ocellaris,Tapajos,Tapajos,fast,471.60324917937305,8,0.8019,0.0997
Cichl_Tap_08,Cichla_ocellaris,Tapajos,Tapajos,fast,557.002837081826,9,1.0317,0.6162
Cichl_Tap_08,Cichla_ocellaris,Tapajos,Tapajos,fast,421.626335073997,10,1.0155,0.4321
Cichl_Tap_08,Cichla_ocellaris,Tapajos,Tapajos,fast,462.6558882122453,11,1.347,0.7106
Cichl_Tap_08,Cichla_ocellaris,Tapajos,Tapajos,fast,508.28718360254425,12,1.348,0.2865
Cichl_Tap_09,Cichla_ocellaris,Tapajos,Tapajos,fast,448.61861140309605,1,0.0038,0.5853
Cichl_Tap_09,Cichla_ocellaris,Tapajos,Tapajos,fast,503.50809869200975,2,0.1389,0.4463
Cichl_Tap_09,Cichla_ocellaris,Tapajos,Tapajos,fast,508.6874400750454,3,0.1661,0.6204
Cichl_Tap_09,Cichla_ocellaris,Tapajos,Tapajos,fast,583.1097101096462,4,0.2611,0.6235
Cichl_Tap_09,Cichla_ocellaris,Tapajos,Tapajos,fast,576.0738015489651,5,0.3811,0.8322
Cichl_Tap_09,Cichla_ocellaris,Tapajos,Tapajos,fast,526.4948474683897,6,0.3833,0.2765
Cichl_Tap_09,Cichla_ocellaris,Tapajos,Tapajos,fast,614.9052256402153,7,0.6095,0.9369
Cichl_Tap_09,Cichla_ocellaris,Tapajos,Tapajos,fast,596.3254047151149,8,0.7509,0.1085
Cichl_Tap_09,Cichla_ocellaris,Tapajos,Tapajos,fast,615.0140758793661,9,0.9994,0.6199
Cichl_Tap_09,Cichla_ocellaris,Tapajos,Tapajos,fast,622.3268096261127,10,0.9919,0.4243
Cichl_Tap_09,Cichla_ocellaris,Tapajos,Tapajos,fast,439.1242185133194,11,1.3102,0.7202
Cichl_Tap_09,Cichla_ocellaris,Tapajos,Tapajos,fast,620.1434351084647,12,1.3094,0.2846
Cichl_Tap_10,Cichla_ocellaris,Tapajos,Tapajos,fast,514.0551094395513,1,0.0024,0.5968
Cichl_Tap_10,Cichla_ocellaris,Tapajos,Tapajos,fast,423.6947032229714,2,0.1143,0.4422
Cichl_Tap_10,Cichla_ocellaris,Tapajos,Tapajos,fast,476.5137420676015,3,0.1665,0.6302
Cichl_Tap_10,Cichla_ocellaris,Tapajos,Tapajos,fast,440.2948656053556,4,0.254,0.6228
Cichl_Tap_10,Cichla_ocellaris,Tapajos,Tapajos,fast,485.6405527706476,5,0.3697,0.8457
Cichl_Tap_10,Cichla_ocellaris,Tapajos,Tapajos,fast,479.62400206355187,6,0.3811,0.2441
Cichl_Tap_10,Cichla_ocellaris,Tapajos,Tapajos,fast,495.1150292910384,7,0.6409,0.9482
Cichl_Tap_10,Cichla_ocellaris,Tapajos,Tapajos,fast,610.4135684553227,8,0.7167,0.0926
Cichl_Tap_10,Cichla_ocellaris,Tapajos,Tapajos,fast,510.56544850368135,9,0.9929,0.6292
Cichl_Tap_10,Cichla_ocellaris,Tapajos,Tapajos,fast,449.83990622186207,10,0.9799,0.4078
Cichl_Tap_10,Cichla_ocellaris,Tapajos,Tapajos,fast,586.4741422612396,11,1.3109,0.7096
Cichl_Tap_10,Cichla_ocellaris,Tapajos,Tapajos,fast,582.0677128844811,12,1.3167,0.2751
Cichl_Tap_11,Cichla_ocellaris,Tapajos,Tapajos,fast,624.4526332448471,1,-0.0048,0.6189
Cichl_Tap_11,Cichla_ocellaris,Tapajos,Tapajos,fast,501.9395833632716,2,0.1172,0.4347
Cichl_Tap_11,Cichla_ocellaris,Tapajos,Tapajos,fast,414.16417074359026,3,0.1475,0.6353
Cichl_Tap_11,Cichla_ocellaris,Tapajos,Tapajos,fast,584.314473098601,4,0.2374,0.6483
Cichl_Tap_11,Cichla_ocellaris,Tapajos,Tapajos,fast,579.476093700266,5,0.3634,0.8557
Cichl_Tap_11,Cichla_ocellaris,Tapajos,Tapajos,fast,616.2596421901322,6,0.3663,0.255
Cichl_Tap_11,Cichla_ocellaris,Tapajos,Tapajos,fast,410.7099298702962,7,0.6027,0.9254
Cichl_Tap_11,Cichla_ocellaris,Tapajos,Tapajos,fast,427.7432994947491,8,0.7175,0.1027
Cichl_Tap_11,Cichla_ocellaris,Tapajos,Tapajos,fast,509.72393461461536,9,0.9414,0.6443
Cichl_Tap_11,Cichla_ocellaris,Tapajos,Tapajos,fast,565.5725563682254,10,0.9528,0.4151
Cichl_Tap_11,Cichla_ocellaris,Tapajos,Tapajos,fast,427.66216527518054,11,1.2467,0.7188
Cichl_Tap_11,Cichla_ocellaris,Tapajos,Tapajos,fast,453.06553406273963,12,1.2369,0.276
Cichl_Tap_12,Cichla_ocellaris,Tapajos,Tapajos,fast,577.772334362519,1,-0.0022,0.6113
Cichl_Tap_12,Cichla_ocellaris,Tapajos,Tapajos,fast,538.0260403983426,2,0.1089,0.4573
Cichl_Tap_12,Cichla_ocellaris,Tapajos,Tapajos,fast,468.5923690124881,3,0.1698,0.6184
Cichl_Tap_12,Cichla_ocellaris,Tapajos,Tapajos,fast,513.8552008427131,4,0.2589,0.6056
Cichl_Tap_12,Cichla_ocellaris,Tapajos,Tapajos,fast,452.21182085305657,5,0.3768,0.8509
Cichl_Tap_12,Cichla_ocellaris,Tapajos,Tapajos,fast,418.71236442807356,6,0.3615,0.274
Cichl_Tap_12,Cichla_ocellaris,Tapajos,Tapajos,fast,440.92743658611835,7,0.6288,0.9461
Cichl_Tap_12,Cichla_ocellaris,Tapajos,Tapajos,fast,614.9205836987337,8,0.7737,0.1017
Cichl_Tap_12,Cichla_ocellaris,Tapajos,Tapajos,fast,418.41547805405753,9,0.9911,0.6227
Cichl_Tap_12,Cichla_ocellaris,Tapajos,Tapajos,fast,411.07515127529274,10,1.0086,0.4162
Cichl_Tap_12,Cichla_ocellaris,Tapajos,Tapajos,fast,490.80182872393516,11,1.3386,0.6971
Cichl_Tap_12,Cichla_ocellaris,Tapajos,Tapajos,fast,440.387170843654,12,1.2958,0.2953
Cichl_Xin_01,Cichla_ocellaris,Xingu,Xingu,fast,442.9465608081181,1,-0.0085,0.6236
Cichl_Xin_01,Cichla_ocellaris,Xingu,Xingu,fast,577.4495569798795,2,0.1147,0.4461
Cichl_Xin_01,Cichla_ocellaris,Xingu,Xingu,fast,626.7312523985374,3,0.1515,0.6337
Cichl_Xin_01,Cichla_ocellaris,Xingu,Xingu,fast,464.25752755497524,4,0.2498,0.6285
Cichl_Xin_01,Cichla_ocellaris,Xingu,Xingu,fast,536.5394513115895,5,0.374,0.8286
Cichl_Xin_01,Cichla_ocellaris,Xingu,Xingu,fast,517.281672854023,6,0.371,0.2687
Cichl_Xin_01,Cichla_ocellaris,Xingu,Xingu,fast,553.9573968214976,7,0.5914,0.9191
Cichl_Xin_01,Cichla_ocellaris,Xingu,Xingu,fast,464.65213674188,8,0.7101,0.1032
Cichl_Xin_01,Cichla_ocellaris,Xingu,Xingu,fast,487.173949062223,9,0.9507,0.6183
Cichl_Xin_01,Cichla_ocellaris,Xingu,Xingu,fast,537.9577666526471,10,0.9686,0.4372
Cichl_Xin_01,Cichla_ocellaris,Xingu,Xingu,fast,549.1048316049116,11,1.255,0.7189
Cichl_Xin_01,Cichla_ocellaris,Xingu,Xingu,fast,523.8863462872694,12,1.2679,0.2794
Cichl_Xin_02,Cichla_ocellaris,Xingu,Xingu,fast,462.062253578423,1,-0.0059,0.6035
Cichl_Xin_02,Cichla_ocellaris,Xingu,Xingu,fast,488.8352750186646,2,0.1253,0.4594
Cichl_Xin_02,Cichla_ocellaris,Xingu,Xingu,fast,431.54241426152373,3,0.1621,0.6397
Cichl_Xin_02,Cichla_ocellaris,Xingu,Xingu,fast,535.8996798395883,4,0.2411,0.6431
Cichl_Xin_02,Cichla_ocellaris,Xingu,Xingu,fast,590.3084902635512,5,0.3723,0.8658
Cichl_Xin_02,Cichla_ocellaris,Xingu,Xingu,fast,587.0340285790865,6,0.3639,0.2393
Cichl_Xin_02,Cichla_ocellaris,Xingu,Xingu,fast,439.07695313902286,7,0.6189,0.9323
Cichl_Xin_02,Cichla_ocellaris,Xingu,Xingu,fast,432.14927256123053,8,0.7491,0.0972
Cichl_Xin_02,Cichla_ocellaris,Xingu,Xingu,fast,606.8487121187542,9,0.9906,0.6318
Cichl_Xin_02,Cichla_ocellaris,Xingu,Xingu,fast,418.01660630616817,10,0.9864,0.4318
Cichl_Xin_02,Cichla_ocellaris,Xingu,Xingu,fast,489.2798910059332,11,1.3063,0.7202
Cichl_Xin_02,Cichla_ocellaris,Xingu,Xingu,fast,511.01512059909504,12,1.3209,0.263
Cichl_Xin_03,Cichla_ocellaris,Xingu,Xingu,fast,503.8428641346145,1,-0.0039,0.613
Cichl_Xin_03,Cichla_ocellaris,Xingu,Xingu,fast,623.2626141336322,2,0.1249,0.4446
Cichl_Xin_03,Cichla_ocellaris,Xingu,Xingu,fast,548.7532047160606,3,0.1659,0.6364
Cichl_Xin_03,Cichla_ocellaris,Xingu,Xingu,fast,529.0314550825976,4,0.2456,0.6332
Cichl_Xin_03,Cichla_ocellaris,Xingu,Xingu,fast,481.26545795077527,5,0.3898,0.8315
Cichl_Xin_03,Cichla_ocellaris,Xingu,Xingu,fast,543.0929342077025,6,0.3769,0.2568
Cichl_Xin_03,Cichla_ocellaris,Xingu,Xingu,fast,521.8803718228587,7,0.6487,0.9298
Cichl_Xin_03,Cichla_ocellaris,Xingu,Xingu,fast,604.5358749356144,8,0.7567,0.1259
Cichl_Xin_03,Cichla_ocellaris,Xingu,Xingu,fast,464.38144751971663,9,1.0057,0.6185
Cichl_Xin_03,Cichla_ocellaris,Xingu,Xingu,fast,591.7025644202492,10,1.0318,0.4312
Cichl_Xin_03,Cichla_ocellaris,Xingu,Xingu,fast,468.63444193627544,11,1.3151,0.7199
Cichl_Xin_03,Cichla_ocellaris,Xingu,Xingu,fast,593.9171665231968,12,1.3104,0.2815
Cichl_Xin_04,Cichla_ocellaris,Xingu,Xingu,fast,506.6856759081668,1,0.0063,0.5924
Cichl_Xin_04,Cichla_ocellaris,Xingu,Xingu,fast,423.0571799306605,2,0.1291,0.4535
Cichl_Xin_04,Cichla_ocellaris,Xingu,Xingu,fast,622.6383924243726,3,0.1682,0.6195
Cichl_Xin_04,Cichla_ocellaris,Xingu,Xingu,fast,580.7613045451162,4,0.2627,0.6327
Cichl_Xin_04,Cichla_ocellaris,Xingu,Xingu,fast,593.9287080855025,5,0.3763,0.8357
Cichl_Xin_04,Cichla_ocellaris,Xingu,Xingu,fast,558.1776976587,6,0.3841,0.2496
Cichl_Xin_04,Cichla_ocellaris,Xingu,Xingu,fast,479.98702334150687,7,0.6523,0.9317
Cichl_Xin_04,Cichla_ocellaris,Xingu,Xingu,fast,561.1935404344293,8,0.747,0.0891
Cichl_Xin_04,Cichla_ocellaris,Xingu,Xingu,fast,536.6433626503166,9,0.9786,0.6223
Cichl_Xin_04,Cichla_ocellaris,Xingu,Xingu,fast,547.6686410041328,10,1.004,0.4222
Cichl_Xin_04,Cichla_ocellaris,Xingu,Xingu,fast,420.77631632050304,11,1.3261,0.7075
Cichl_Xin_04,Cichla_ocellaris,Xingu,Xingu,fast,537.7717997431092,12,1.3483,0.2793
Cichl_Xin_05,Cichla_ocellaris,Xingu,Xingu,fast,488.16848992043435,1,0.0064,0.5977
Cichl_Xin_05,Cichla_ocellaris,Xingu,Xingu,fast,564.7355676179886,2,0.1188,0.4357
Cichl_Xin_05,Cichla_ocellaris,Xingu,Xingu,fast,525.8269410543498,3,0.1454,0.6311
Cichl_Xin_05,Cichla_ocellaris,Xingu,Xingu,fast,452.31400486378783,4,0.2284,0.6014
Cichl_Xin_05,Cichla_ocellaris,Xingu,Xingu,fast,458.9216927219144,5,0.3434,0.8545
Cichl_Xin_05,Cichla_ocellaris,Xingu,Xingu,fast,488.33920338443704,6,0.3334,0.263
Cichl_Xin_05,Cichla_ocellaris,Xingu,Xingu,fast,492.83990276037036,7,0.5571,0.9318
Cichl_Xin_05,Cichla_ocellaris,Xingu,Xingu,fast,561.7470051238074,8,0.6656,0.116
Cichl_Xin_05,Cichla_ocellaris,Xingu,Xingu,fast,565.4564356320534,9,0.9079,0.611
Cichl_Xin_05,Cichla_ocellaris,Xingu,Xingu,fast,542.8300787225414,10,0.8791,0.4202
Cichl_Xin_05,Cichla_ocellaris,Xingu,Xingu,fast,532.5887409962507,11,1.1839,0.7228
Cichl_Xin_05,Cichla_ocellaris,Xingu,Xingu,fast,502.81587710274334,12,1.1743,0.2693
Cichl_Xin_06,Cichla_ocellaris,Xingu,Xingu,fast,536.0523823443173,1,-0.0011,0.5873
Cichl_Xin_06,Cichla_ocellaris,Xingu,Xingu,fast,458.61572311401113,2,0.124,0.4509
Cichl_Xin_06,Cichla_ocellaris,Xingu,Xingu,fast,483.85517134930217,3,0.1643,0.6158
Cichl_Xin_06,Cichla_ocellaris,Xingu,Xingu,fast,429.81621617652826,4,0.2441,0.6207
Cichl_Xin_06,Cichla_ocellaris,Xingu,Xingu,fast,473.4407628213746,5,0.3955,0.8362
Cichl_Xin_06,Cichla_ocellaris,Xingu,Xingu,fast,454.50276894082526,6,0.3813,0.2506
Cichl_Xin_06,Cichla_ocellaris,Xingu,Xingu,fast,452.30253981864615,7,0.6332,0.9342
Cichl_Xin_06,Cichla_ocellaris,Xingu,Xingu,fast,459.7412325726518,8,0.7311,0.0943
Cichl_Xin_06,Cichla_ocellaris,Xingu,Xingu,fast,427.2806876884913,9,1.0,0.6031
Cichl_Xin_06,Cichla_ocellaris,Xingu,Xingu,fast,435.4259917733092,10,1.015,0.4157
Cichl_Xin_06,Cichla_ocellaris,Xingu,Xingu,fast,523.8629843357788,11,1.3083,0.7062
Cichl_Xin_06,Cichla_ocellaris,Xingu,Xingu,fast,465.2091350356779,12,1.3121,0.2722
Cichl_Xin_07,Cichla_ocellaris,Xingu,Xingu,fast,604.7553911314408,1,-0.0202,0.6092
Cichl_Xin_07,Cichla_ocellaris,Xingu,Xingu,fast,494.6605879561378,2,0.1115,0.4399
Cichl_Xin_07,Cichla_ocellaris,Xingu,Xingu,fast,429.02401692013245,3,0.1385,0.6078
Cichl_Xin_07,Cichla_ocellaris,Xingu,Xingu,fast,608.3689871677053,4,0.2268,0.6298
Cichl_Xin_07,Cichla_ocellaris,Xingu,Xingu,fast,555.3681231404163,5,0.3164,0.8486
Cichl_Xin_07,Cichla_ocellaris,Xingu,Xingu,fast,537.456817157379,6,0.3071,0.2648
Cichl_Xin_07,Cichla_ocellaris,Xingu,Xingu,fast,502.589745977935,7,0.5506,0.954
Cichl_Xin_07,Cichla_ocellaris,Xingu,Xingu,fast,558.6394862440578,8,0.6177,0.0861
Cichl_Xin_07,Cichla_ocellaris,Xingu,Xingu,fast,475.80346683584474,9,0.8384,0.6224
Cichl_Xin_07,Cichla_ocellaris,Xingu,Xingu,fast,547.1782251664216,10,0.8362,0.4286
Cichl_Xin_07,Cichla_ocellaris,Xingu,Xingu,fast,440.4034456143063,11,1.1205,0.6999
Cichl_Xin_07,Cichla_ocellaris,Xingu,Xingu,fast,574.2633494869293,12,1.1173,0.2714
Cichl_Xin_08,Cichla_ocellaris,Xingu,Xingu,fast,547.0980738365155,1,0.0087,0.6167
Cichl_Xin_08,Cichla_ocellaris,Xingu,Xingu,fast,540.7173955491837,2,0.1231,0.4445
Cichl_Xin_08,Cichla_ocellaris,Xingu,Xingu,fast,530.9661131074834,3,0.1554,0.6235
Cichl_Xin_08,Cichla_ocellaris,Xingu,Xingu,fast,472.2402531100047,4,0.2195,0.6198
Cichl_Xin_08,Cichla_ocellaris,Xingu,Xingu,fast,462.02009835975696,5,0.3354,0.8366
Cichl_Xin_08,Cichla_ocellaris,Xingu,Xingu,fast,614.7622898839497,6,0.3358,0.2675
Cichl_Xin_08,Cichla_ocellaris,Xingu,Xingu,fast,522.2231079041261,7,0.5501,0.9252
Cichl_Xin_08,Cichla_ocellaris,Xingu,Xingu,fast,620.9133417825251,8,0.6916,0.1001
Cichl_Xin_08,Cichla_ocellaris,Xingu,Xingu,fast,567.106165367858,9,0.9108,0.6227
Cichl_Xin_08,Cichla_ocellaris,Xingu,Xingu,fast,577.2722998623991,10,0.9144,0.4109
Cichl_Xin_08,Cichla_ocellaris,Xingu,Xingu,fast,536.4907472788595,11,1.1844,0.7163
Cichl_Xin_08,Cichla_ocellaris,Xingu,Xingu,fast,485.528274548165,12,1.1833,0.2887
Cichl_Xin_09,Cichla_ocellaris,Xingu,Xingu,fast,481.79959320543924,1,0.0002,0.6072
Cichl_Xin_09,Cichla_ocellaris,Xingu,Xingu,fast,593.8766758135558,2,0.1302,0.4496
Cichl_Xin_09,Cichla_ocellaris,Xingu,Xingu,fast,542.7677369397701,3,0.1767,0.6148
Cichl_Xin_09,Cichla_ocellaris,Xingu,Xingu,fast,601.0064005549683,4,0.2654,0.6209
Cichl_Xin_09,Cichla_ocellaris,Xingu,Xingu,fast,566.8797538566015,5,0.3924,0.8464
Cichl_Xin_09,Cichla_ocellaris,Xingu,Xingu,fast,622.5156377237955,6,0.3719,0.2501
Cichl_Xin_09,Cichla_ocellaris,Xingu,Xingu,fast,597.7147922861728,7,0.602,0.958
Cichl_Xin_09,Cichla_ocellaris,Xingu,Xingu,fast,469.7738495450435,8,0.7489,0.1038
Cichl_Xin_09,Cichla_ocellaris,Xingu,Xingu,fast,617.7467886366719,9,1.0001,0.6216
