plot_id,Dryas_octopetala,Carex_firma,Sesleria_caerulea,Aster_alpinus,Androsace_helvetica,Saxifraga_oppositifolia,Festuca_rubra,Poa_alpina,Deschampsia_cespitosa,Nardus_stricta,Agrostis_capillaris,Phleum_alpinum,Rumex_alpinus,Chenopodium_bonus,Stellaria_media,Polygonum_viviparum,Ranunculus_acris,Veronica_alpina,Vaccinium_myrtillus,Rhododendron_ferrugineum,Calluna_vulgaris,Empetrum_nigrum,Loiseleuria_procumbens,Arctostaphylos_uva_ursi,Crocus_albiflorus,Narcissus_poeticus,Lilium_martagon,Gentiana_nivalis,Soldanella_alpina,Anemone_narcissiflora
P25,0.0046,0.0146,0.0128,0.0884,0.0346,0.0246,0.0255,0.0,0.2379,0.0237,0.1258,0.0,0.0675,0.0374,0.01,0.041,0.0128,0.0,0.0,0.0,0.0593,0.0356,0.0128,0.0246,0.0,0.0237,0.0055,0.0529,0.0146,0.01
P26,0.1455,0.0188,0.0257,0.0325,0.024,0.0068,0.0565,0.0,0.0599,0.0,0.0223,0.0,0.0274,0.036,0.0205,0.0068,0.0154,0.0,0.0,0.0479,0.0274,0.0223,0.0188,0.0308,0.0223,0.0068,0.2021,0.0325,0.0274,0.0634
P27,0.2357,0.1228,0.0484,0.031,0.0881,0.0521,0.0087,0.0,0.0149,0.0533,0.0261,0.0,0.0645,0.0,0.0261,0.0248,0.0062,0.0,0.0,0.0,0.0236,0.005,0.0397,0.0223,0.0,0.0149,0.0199,0.0099,0.0211,0.0409
P28,0.0143,0.0072,0.0233,0.0411,0.1002,0.0358,0.1109,0.0,0.0698,0.0894,0.0733,0.0,0.0179,0.0143,0.0018,0.0215,0.0,0.0,0.0,0.0,0.0644,0.0197,0.0179,0.0286,0.0,0.1127,0.0662,0.0089,0.0465,0.0143
P29,0.0261,0.0889,0.0924,0.0438,0.0415,0.0142,0.0,0.0,0.0628,0.0,0.0853,0.0,0.0462,0.0,0.0095,0.2524,0.0,0.0,0.0,0.0,0.013,0.0391,0.0,0.0107,0.0,0.032,0.1043,0.0249,0.0071,0.0059
P30,0.036,0.0463,0.0437,0.0411,0.0206,0.0386,0.0,0.0,0.0,0.0,0.0283,0.0,0.0797,0.0,0.0463,0.0437,0.0,0.0,0.0,0.0,0.0231,0.0797,0.0,0.1517,0.0,0.1388,0.09,0.0154,0.054,0.0231
P31,0.0202,0.0565,0.1992,0.035,0.0471,0.0283,0.0081,0.0,0.0175,0.0,0.0121,0.0,0.0686,0.0067,0.0054,0.0067,0.0,0.0,0.0,0.0,0.0929,0.0081,0.0,0.0188,0.0,0.0431,0.07,0.1709,0.0215,0.0633
P32,0.062,0.0676,0.0986,0.0648,0.0423,0.0197,0.0592,0.0,0.0141,0.0,0.0,0.0,0.0338,0.0,0.1296,0.0,0.0,0.0,0.0,0.0,0.0113,0.0761,0.0197,0.0197,0.0,0.0254,0.0394,0.1408,0.0282,0.0479
P33,0.0131,0.0394,0.1496,0.0525,0.0262,0.0735,0.1102,0.0,0.0604,0.0,0.0,0.0,0.0289,0.0761,0.0682,0.0,0.0,0.0,0.0,0.0,0.0236,0.0919,0.0525,0.0315,0.0,0.0236,0.0105,0.0052,0.0315,0.0315
P34,0.0433,0.0541,0.0346,0.0736,0.0693,0.158,0.0866,0.0,0.0346,0.0,0.0,0.0,0.0238,0.0,0.0563,0.0195,0.0,0.0,0.0,0.0,0.1753,0.0,0.0,0.0519,0.0,0.0,0.0325,0.0368,0.0498,0.0
P35,0.0263,0.1767,0.3177,0.0376,0.047,0.0,0.0,0.0,0.0263,0.0,0.0,0.0,0.0226,0.0207,0.0301,0.0132,0.0,0.0,0.0,0.0,0.0658,0.0,0.0,0.1222,0.0,0.0,0.0169,0.0113,0.0414,0.0244
P36,0.0513,0.0256,0.4615,0.0821,0.0513,0.0718,0.0,0.0,0.0,0.0,0.0,0.0,0.0923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0462,0.0513,0.0,0.0,0.0,0.0,0.0,0.0256,0.041,0.0
P37,0.1579,0.1579,0.0307,0.0921,0.0263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0439,0.0,0.1623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1184,0.1535,0.057,0.0
P38,0.032,0.08,0.0,0.132,0.04,0.072,0.0,0.0,0.116,0.0,0.0,0.0,0.124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.104,0.0,0.0,0.024,0.0,0.0,0.124,0.0,0.152,0.0
P39,0.1467,0.0933,0.0533,0.0333,0.1067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0733,0.0667,0.3067,0.0
P40,0.0633,0.3333,0.0,0.0338,0.0253,0.0,0.0,0.0,0.3882,0.0,0.0,0.0,0.0591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.097,0.0
