ObsDataID,AccSpeciesID,AccSpeciesName,TraitID,TraitName,StdValue,UnitName,Reference
20,10054,Dryas octopetala,26,Seed dry mass,0.4037,mg,LEFE Toulouse field campaign 2022
21,43124,Carex firma,3117,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",13.3261,mm2 mg-1,GLORIA network 2019
22,43124,Carex firma,3117,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",14.1137,mm2 mg-1,GLORIA network 2019
23,43124,Carex firma,3117,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",13.9688,mm2 mg-1,GLORIA network 2019
24,43124,Carex firma,47,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",299.6296,mg g-1,LEFE Toulouse field campaign 2022
25,43124,Carex firma,47,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",271.5967,mg g-1,LEFE Toulouse field campaign 2022
26,43124,Carex firma,47,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",311.8124,mg g-1,LEFE Toulouse field campaign 2022
27,43124,Carex firma,47,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",,mg g-1,GLORIA network 2019
28,43124,Carex firma,14,Leaf nitrogen (N) content per leaf dry mass,23.4749,mg g-1,Alpine trait survey CNRS 2021
29,43124,Carex firma,14,Leaf nitrogen (N) content per leaf dry mass,21.8135,mg g-1,TRY contributor: Kattge et al. 2020
30,43124,Carex firma,14,Leaf nitrogen (N) content per leaf dry mass,20.6889,mg g-1,TRY contributor: Kattge et al. 2020
31,43124,Carex firma,14,Leaf nitrogen (N) content per leaf dry mass,20.4662,mg g-1,LEFE Toulouse field campaign 2022
32,43124,Carex firma,3106,Plant height vegetative,6.354,cm,TRY contributor: Kattge et al. 2020
33,43124,Carex firma,3106,Plant height vegetative,5.9642,cm,GLORIA network 2019
34,43124,Carex firma,3106,Plant height vegetative,6.2456,cm,TRY contributor: Kattge et al. 2020
35,43124,Carex firma,6,Leaf water content per leaf fresh mass (LSWC): leaf water content,2.3438,g g-1,LEFE Toulouse field campaign 2022
36,43124,Carex firma,6,Leaf water content per leaf fresh mass (LSWC): leaf water content,2.1941,g g-1,LEFE Toulouse field campaign 2022
37,43124,Carex firma,6,Leaf water content per leaf fresh mass (LSWC): leaf water content,2.451,g g-1,LEFE Toulouse field campaign 2022
38,43124,Carex firma,26,Seed dry mass,0.6225,mg,GLORIA network 2019
39,43124,Carex firma,26,Seed dry mass,0.6321,mg,LEFE Toulouse field campaign 2022
40,43124,Carex firma,26,Seed dry mass,0.6065,mg,Alpine trait survey CNRS 2021
41,1405,Sesleria caerulea,3117,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",8.388,mm2 mg-1,LEFE Toulouse field campaign 2022
42,1405,Sesleria caerulea,3117,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",7.8825,mm2 mg-1,LEFE Toulouse field campaign 2022
43,1405,Sesleria caerulea,3117,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",8.3285,mm2 mg-1,Alpine trait survey CNRS 2021
44,1405,Sesleria caerulea,47,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",361.9294,mg g-1,LEFE Toulouse field campaign 2022
45,1405,Sesleria caerulea,47,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",336.0872,mg g-1,Alpine trait survey CNRS 2021
46,1405,Sesleria caerulea,47,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",336.3825,mg g-1,TRY contributor: Kattge et al. 2020
47,1405,Sesleria caerulea,47,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",308.8656,mg g-1,TRY contributor: Kattge et al. 2020
48,1405,Sesleria caerulea,14,Leaf nitrogen (N) content per leaf dry mass,13.8555,mg g-1,TRY contributor: Kattge et al. 2020
49,1405,Sesleria caerulea,14,Leaf nitrogen (N) content per leaf dry mass,,mg g-1,LEFE Toulouse field campaign 2022
50,1405,Sesleria caerulea,3106,Plant height vegetative,5.1225,cm,TRY contributor: Kattge et al. 2020
51,1405,Sesleria caerulea,3106,Plant height vegetative,4.9924,cm,LEFE Toulouse field campaign 2022
52,1405,Sesleria caerulea,3106,Plant height vegetative,6.1305,cm,LEFE Toulouse field campaign 2022
53,1405,Sesleria caerulea,3106,Plant height vegetative,5.2797,cm,TRY contributor: Kattge et al. 2020
54,1405,Sesleria caerulea,6,Leaf water content per leaf fresh mass (LSWC): leaf water content,3.0793,g g-1,GLORIA network 2019
55,1405,Sesleria caerulea,6,Leaf water content per leaf fresh mass (LSWC): leaf water content,3.1123,g g-1,Alpine trait survey CNRS 2021
56,1405,Sesleria caerulea,6,Leaf water content per leaf fresh mass (LSWC): leaf water content,3.316,g g-1,Alpine trait survey CNRS 2021
57,1405,Sesleria caerulea,6,Leaf water content per leaf fresh mass (LSWC): leaf water content,3.1856,g g-1,Alpine trait survey CNRS 2021
58,1405,Sesleria caerulea,26,Seed dry mass,0.2113,mg,LEFE Toulouse field campaign 2022
59,1405,Sesleria caerulea,26,Seed dry mass,0.1858,mg,LEFE Toulouse field campaign 2022
60,84712,Aster alpinus,3117,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",9.5218,mm2 mg-1,LEFE Toulouse field campaign 2022
61,84712,Aster alpinus,3117,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",9.3507,mm2 mg-1,TRY contributor: Kattge et al. 2020
62,84712,Aster alpinus,3117,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",,mm2 mg-1,Alpine trait survey CNRS 2021
63,84712,Aster alpinus,47,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",348.1993,mg g-1,GLORIA network 2019
64,84712,Aster alpinus,47,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",330.7562,mg g-1,Alpine trait survey CNRS 2021
65,84712,Aster alpinus,47,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",306.8022,mg g-1,LEFE Toulouse field campaign 2022
66,84712,Aster alpinus,14,Leaf nitrogen (N) content per leaf dry mass,15.0986,mg g-1,LEFE Toulouse field campaign 2022
67,84712,Aster alpinus,14,Leaf nitrogen (N) content per leaf dry mass,15.1418,mg g-1,LEFE Toulouse field campaign 2022
68,84712,Aster alpinus,3106,Plant height vegetative,7.2664,cm,LEFE Toulouse field campaign 2022
69,84712,Aster alpinus,3106,Plant height vegetative,7.0174,cm,Alpine trait survey CNRS 2021
70,84712,Aster alpinus,6,Leaf water content per leaf fresh mass (LSWC): leaf water content,2.8219,g g-1,GLORIA network 2019
71,84712,Aster alpinus,6,Leaf water content per leaf fresh mass (LSWC): leaf water content,2.8081,g g-1,LEFE Toulouse field campaign 2022
72,84712,Aster alpinus,6,Leaf water content per leaf fresh mass (LSWC): leaf water content,2.752,g g-1,Alpine trait survey CNRS 2021
73,84712,Aster alpinus,26,Seed dry mass,0.4266,mg,GLORIA network 2019
74,84712,Aster alpinus,26,Seed dry mass,0.4196,mg,LEFE Toulouse field campaign 2022
75,84712,Aster alpinus,26,Seed dry mass,0.4314,mg,TRY contributor: Kattge et al. 2020
76,4430,Androsace helvetica,3117,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",,mm2 mg-1,TRY contributor: Kattge et al. 2020
77,4430,Androsace helvetica,3117,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",10.4535,mm2 mg-1,GLORIA network 2019
78,4430,Androsace helvetica,3117,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",9.6446,mm2 mg-1,TRY contributor: Kattge et al. 2020
79,4430,Androsace helvetica,3117,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",10.4823,mm2 mg-1,GLORIA network 2019
80,4430,Androsace helvetica,47,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",326.9319,mg g-1,Alpine trait survey CNRS 2021
81,4430,Androsace helvetica,47,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",342.0295,mg g-1,LEFE Toulouse field campaign 2022
82,4430,Androsace helvetica,47,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",326.2867,mg g-1,Alpine trait survey CNRS 2021
83,4430,Androsace helvetica,14,Leaf nitrogen (N) content per leaf dry mass,16.931,mg g-1,LEFE Toulouse field campaign 2022
84,4430,Androsace helvetica,14,Leaf nitrogen (N) content per leaf dry mass,18.8524,mg g-1,GLORIA network 2019
85,4430,Androsace helvetica,3106,Plant height vegetative,12.7641,cm,Alpine trait survey CNRS 2021
86,4430,Androsace helvetica,3106,Plant height vegetative,13.3824,cm,LEFE Toulouse field campaign 2022
87,4430,Androsace helvetica,3106,Plant height vegetative,12.5434,cm,LEFE Toulouse field campaign 2022
88,4430,Androsace helvetica,3106,Plant height vegetative,13.3071,cm,TRY contributor: Kattge et al. 2020
89,4430,Androsace helvetica,6,Leaf water content per leaf fresh mass (LSWC): leaf water content,2.4259,g g-1,TRY contributor: Kattge et al. 2020
90,4430,Androsace helvetica,6,Leaf water content per leaf fresh mass (LSWC): leaf water content,2.6065,g g-1,Alpine trait survey CNRS 2021
91,4430,Androsace helvetica,26,Seed dry mass,0.5226,mg,LEFE Toulouse field campaign 2022
92,4430,Androsace helvetica,26,Seed dry mass,,mg,GLORIA network 2019
93,4430,Androsace helvetica,26,Seed dry mass,0.5747,mg,GLORIA network 2019
94,4430,Androsace helvetica,26,Seed dry mass,0.5763,mg,Alpine trait survey CNRS 2021
95,92376,Saxifraga oppositifolia,3117,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",12.3931,mm2 mg-1,GLORIA network 2019
96,92376,Saxifraga oppositifolia,3117,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",,mm2 mg-1,GLORIA network 2019
97,92376,Saxifraga oppositifolia,3117,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",12.238,mm2 mg-1,LEFE Toulouse field campaign 2022
98,92376,Saxifraga oppositifolia,47,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",250.0395,mg g-1,LEFE Toulouse field campaign 2022
99,92376,Saxifraga oppositifolia,47,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",291.1602,mg g-1,GLORIA network 2019
100,92376,Saxifraga oppositifolia,47,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",292.1187,mg g-1,TRY contributor: Kattge et al. 2020
101,92376,Saxifraga oppositifolia,47,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",258.2337,mg g-1,TRY contributor: Kattge et al. 2020
102,92376,Saxifraga oppositifolia,14,Leaf nitrogen (N) content per leaf dry mass,19.1004,mg g-1,Alpine trait survey CNRS 2021
103,92376,Saxifraga oppositifolia,14,Leaf nitrogen (N) content per leaf dry mass,18.0246,mg g-1,Alpine trait survey CNRS 2021
104,92376,Saxifraga oppositifolia,3106,Plant height vegetative,3.2812,cm,TRY contributor: Kattge et al. 2020
105,92376,Saxifraga oppositifolia,3106,Plant height vegetative,4.1424,cm,Alpine trait survey CNRS 2021
106,92376,Saxifraga oppositifolia,3106,Plant height vegetative,3.8092,cm,TRY contributor: Kattge et al. 2020
107,92376,Saxifraga oppositifolia,6,Leaf water content per leaf fresh mass (LSWC): leaf water content,2.0038,g g-1,TRY contributor: Kattge et al. 2020
108,92376,Saxifraga oppositifolia,6,Leaf water content per leaf fresh mass (LSWC): leaf water content,2.0117,g g-1,LEFE Toulouse field campaign 2022
109,92376,Saxifraga oppositifolia,26,Seed dry mass,0.4172,mg,LEFE Toulouse field campaign 2022
110,92376,Saxifraga oppositifolia,26,Seed dry mass,0.4258,mg,LEFE Toulouse field campaign 2022
111,92376,Saxifraga oppositifolia,26,Seed dry mass,0.4225,mg,LEFE Toulouse field campaign 2022
112,97016,Festuca rubra,3117,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",26.3294,mm2 mg-1,Alpine trait survey CNRS 2021
113,97016,Festuca rubra,3117,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",28.1883,mm2 mg-1,TRY contributor: Kattge et al. 2020
114,97016,Festuca rubra,3117,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",28.2306,mm2 mg-1,TRY contributor: Kattge et al. 2020
115,97016,Festuca rubra,47,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",208.8476,mg g-1,GLORIA network 2019
116,97016,Festuca rubra,47,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",190.3205,mg g-1,LEFE Toulouse field campaign 2022
117,97016,Festuca rubra,47,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",202.6975,mg g-1,LEFE Toulouse field campaign 2022
118,97016,Festuca rubra,14,Leaf nitrogen (N) content per leaf dry mass,26.1101,mg g-1,Alpine trait survey CNRS 2021
119,97016,Festuca rubra,14,Leaf nitrogen (N) content per leaf dry mass,26.0765,mg g-1,TRY contributor: Kattge et al. 2020
120,97016,Festuca rubra,14,Leaf nitrogen (N) content per leaf dry mass,27.2609,mg g-1,LEFE Toulouse field campaign 2022
121,97016,Festuca rubra,3106,Plant height vegetative,38.2698,cm,GLORIA network 2019
122,97016,Festuca rubra,3106,Plant height vegetative,41.6207,cm,GLORIA network 2019
123,97016,Festuca rubra,3106,Plant height vegetative,39.0779,cm,GLORIA network 2019
124,97016,Festuca rubra,3106,Plant height vegetative,39.9217,cm,LEFE Toulouse field campaign 2022
125,97016,Festuca rubra,6,Leaf water content per leaf fresh mass (LSWC): leaf water content,4.136,g g-1,TRY contributor: Kattge et al. 2020
126,97016,Festuca rubra,6,Leaf water content per leaf fresh mass (LSWC): leaf water content,4.6597,g g-1,Alpine trait survey CNRS 2021
127,97016,Festuca rubra,6,Leaf water content per leaf fresh mass (LSWC): leaf water content,4.9013,g g-1,GLORIA network 2019
128,97016,Festuca rubra,26,Seed dry mass,0.7138,mg,Alpine trait survey CNRS 2021
129,97016,Festuca rubra,26,Seed dry mass,0.6217,mg,GLORIA network 2019
130,97016,Festuca rubra,26,Seed dry mass,0.7808,mg,TRY contributor: Kattge et al. 2020
131,97016,Festuca rubra,26,Seed dry mass,0.7032,mg,Alpine trait survey CNRS 2021
132,42970,Poa alpina,3117,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",22.7627,mm2 mg-1,TRY contributor: Kattge et al. 2020
133,42970,Poa alpina,3117,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",28.7678,mm2 mg-1,Alpine trait survey CNRS 2021
134,42970,Poa alpina,3117,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",26.1019,mm2 mg-1,GLORIA network 2019
135,42970,Poa alpina,3117,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",28.2984,mm2 mg-1,Alpine trait survey CNRS 2021
136,42970,Poa alpina,47,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",227.9692,mg g-1,Alpine trait survey CNRS 2021
137,42970,Poa alpina,47,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",230.1559,mg g-1,TRY contributor: Kattge et al. 2020
138,42970,Poa alpina,47,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",207.6421,mg g-1,LEFE Toulouse field campaign 2022
139,42970,Poa alpina,14,Leaf nitrogen (N) content per leaf dry mass,26.8497,mg g-1,GLORIA network 2019
140,42970,Poa alpina,14,Leaf nitrogen (N) content per leaf dry mass,25.5556,mg g-1,TRY contributor: Kattge et al. 2020
141,42970,Poa alpina,14,Leaf nitrogen (N) content per leaf dry mass,23.7206,mg g-1,LEFE Toulouse field campaign 2022
142,42970,Poa alpina,3106,Plant height vegetative,34.0774,cm,LEFE Toulouse field campaign 2022
143,42970,Poa alpina,3106,Plant height vegetative,33.3848,cm,GLORIA network 2019
144,42970,Poa alpina,6,Leaf water content per leaf fresh mass (LSWC): leaf water content,4.7869,g g-1,Alpine trait survey CNRS 2021
145,42970,Poa alpina,6,Leaf water content per leaf fresh mass (LSWC): leaf water content,4.452,g g-1,LEFE Toulouse field campaign 2022
146,42970,Poa alpina,6,Leaf water content per leaf fresh mass (LSWC): leaf water content,4.2329,g g-1,LEFE Toulouse field campaign 2022
147,42970,Poa alpina,6,Leaf water content per leaf fresh mass (LSWC): leaf water content,4.4379,g g-1,LEFE Toulouse field campaign 2022
148,42970,Poa alpina,26,Seed dry mass,0.7434,mg,Alpine trait survey CNRS 2021
149,42970,Poa alpina,26,Seed dry mass,0.769,mg,Alpine trait survey CNRS 2021
150,42970,Poa alpina,26,Seed dry mass,0.746,mg,LEFE Toulouse field campaign 2022
151,42970,Poa alpina,26,Seed dry mass,0.7563,mg,LEFE Toulouse field campaign 2022
152,17981,Deschampsia cespitosa,3117,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",19.1758,mm2 mg-1,Alpine trait survey CNRS 2021
153,17981,Deschampsia cespitosa,3117,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",17.592,mm2 mg-1,Alpine trait survey CNRS 2021
154,17981,Deschampsia cespitosa,3117,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",22.2369,mm2 mg-1,Alpine trait survey CNRS 2021
155,17981,Deschampsia cespitosa,3117,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",,mm2 mg-1,Alpine trait survey CNRS 2021
156,17981,Deschampsia cespitosa,47,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",226.8588,mg g-1,Alpine trait survey CNRS 2021
157,17981,Deschampsia cespitosa,47,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",237.3347,mg g-1,Alpine trait survey CNRS 2021
158,17981,Deschampsia cespitosa,14,Leaf nitrogen (N) content per leaf dry mass,22.582,mg g-1,GLORIA network 2019
159,17981,Deschampsia cespitosa,14,Leaf nitrogen (N) content per leaf dry mass,25.1328,mg g-1,Alpine trait survey CNRS 2021
160,17981,Deschampsia cespitosa,3106,Plant height vegetative,52.0226,cm,TRY contributor: Kattge et al. 2020
161,17981,Deschampsia cespitosa,3106,Plant height vegetative,48.4312,cm,GLORIA network 2019
162,17981,Deschampsia cespitosa,3106,Plant height vegetative,44.1108,cm,TRY contributor: Kattge et al. 2020
163,17981,Deschampsia cespitosa,3106,Plant height vegetative,46.0708,cm,LEFE Toulouse field campaign 2022
164,17981,Deschampsia cespitosa,6,Leaf water content per leaf fresh mass (LSWC): leaf water content,3.2289,g g-1,Alpine trait survey CNRS 2021
165,17981,Deschampsia cespitosa,6,Leaf water content per leaf fresh mass (LSWC): leaf water content,4.3345,g g-1,LEFE Toulouse field campaign 2022
166,17981,Deschampsia cespitosa,26,Seed dry mass,1.015,mg,LEFE Toulouse field campaign 2022
167,17981,Deschampsia cespitosa,26,Seed dry mass,1.1654,mg,Alpine trait survey CNRS 2021
168,38139,Nardus stricta,3117,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",,mm2 mg-1,GLORIA network 2019
169,38139,Nardus stricta,3117,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",19.2773,mm2 mg-1,GLORIA network 2019
170,38139,Nardus stricta,3117,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",18.7443,mm2 mg-1,Alpine trait survey CNRS 2021
171,38139,Nardus stricta,47,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",248.5754,mg g-1,LEFE Toulouse field campaign 2022
172,38139,Nardus stricta,47,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",236.5295,mg g-1,TRY contributor: Kattge et al. 2020
173,38139,Nardus stricta,14,Leaf nitrogen (N) content per leaf dry mass,29.416,mg g-1,LEFE Toulouse field campaign 2022
174,38139,Nardus stricta,14,Leaf nitrogen (N) content per leaf dry mass,31.1032,mg g-1,GLORIA network 2019
175,38139,Nardus stricta,14,Leaf nitrogen (N) content per leaf dry mass,29.6981,mg g-1,LEFE Toulouse field campaign 2022
176,38139,Nardus stricta,14,Leaf nitrogen (N) content per leaf dry mass,30.0233,mg g-1,Alpine trait survey CNRS 2021
177,38139,Nardus stricta,3106,Plant height vegetative,36.5792,cm,TRY contributor: Kattge et al. 2020
178,38139,Nardus stricta,3106,Plant height vegetative,35.9059,cm,Alpine trait survey CNRS 2021
179,38139,Nardus stricta,3106,Plant height vegetative,,cm,Alpine trait survey CNRS 2021
180,38139,Nardus stricta,3106,Plant height vegetative,33.0178,cm,Alpine trait survey CNRS 2021
181,38139,Nardus stricta,6,Leaf water content per leaf fresh mass (LSWC): leaf water content,4.8924,g g-1,GLORIA network 2019
182,38139,Nardus stricta,6,Leaf water content per leaf fresh mass (LSWC): leaf water content,4.6883,g g-1,Alpine trait survey CNRS 2021
183,38139,Nardus stricta,6,Leaf water content per leaf fresh mass (LSWC): leaf water content,4.5757,g g-1,TRY contributor: Kattge et al. 2020
184,38139,Nardus stricta,6,Leaf water content per leaf fresh mass (LSWC): leaf water content,4.2476,g g-1,GLORIA network 2019
185,38139,Nardus stricta,26,Seed dry mass,1.0586,mg,Alpine trait survey CNRS 2021
186,38139,Nardus stricta,26,Seed dry mass,1.1486,mg,LEFE Toulouse field campaign 2022
187,38139,Nardus stricta,26,Seed dry mass,,mg,LEFE Toulouse field campaign 2022
188,38139,Nardus stricta,26,Seed dry mass,1.0204,mg,GLORIA network 2019
189,5406,Agrostis capillaris,3117,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",17.3995,mm2 mg-1,Alpine trait survey CNRS 2021
190,5406,Agrostis capillaris,3117,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",21.2536,mm2 mg-1,Alpine trait survey CNRS 2021
191,5406,Agrostis capillaris,3117,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",20.5188,mm2 mg-1,TRY contributor: Kattge et al. 2020
192,5406,Agrostis capillaris,3117,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",,mm2 mg-1,GLORIA network 2019
193,5406,Agrostis capillaris,47,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",232.1366,mg g-1,Alpine trait survey CNRS 2021
194,5406,Agrostis capillaris,47,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",,mg g-1,GLORIA network 2019
195,5406,Agrostis capillaris,14,Leaf nitrogen (N) content per leaf dry mass,24.41,mg g-1,Alpine trait survey CNRS 2021
196,5406,Agrostis capillaris,14,Leaf nitrogen (N) content per leaf dry mass,26.0575,mg g-1,LEFE Toulouse field campaign 2022
197,5406,Agrostis capillaris,3106,Plant height vegetative,46.1561,cm,LEFE Toulouse field campaign 2022
198,5406,Agrostis capillaris,3106,Plant height vegetative,45.9966,cm,TRY contributor: Kattge et al. 2020
199,5406,Agrostis capillaris,6,Leaf water content per leaf fresh mass (LSWC): leaf water content,4.0171,g g-1,TRY contributor: Kattge et al. 2020
200,5406,Agrostis capillaris,6,Leaf water content per leaf fresh mass (LSWC): leaf water content,4.633,g g-1,LEFE Toulouse field campaign 2022
201,5406,Agrostis capillaris,6,Leaf water content per leaf fresh mass (LSWC): leaf water content,4.6733,g g-1,GLORIA network 2019
202,5406,Agrostis capillaris,26,Seed dry mass,1.0042,mg,Alpine trait survey CNRS 2021
203,5406,Agrostis capillaris,26,Seed dry mass,0.9228,mg,Alpine trait survey CNRS 2021
204,5406,Agrostis capillaris,26,Seed dry mass,0.8885,mg,TRY contributor: Kattge et al. 2020
205,5406,Agrostis capillaris,26,Seed dry mass,0.8608,mg,TRY contributor: Kattge et al. 2020
206,66903,Phleum alpinum,3117,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",20.9881,mm2 mg-1,GLORIA network 2019
207,66903,Phleum alpinum,3117,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",20.9805,mm2 mg-1,Alpine trait survey CNRS 2021
208,66903,Phleum alpinum,3117,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",21.188,mm2 mg-1,GLORIA network 2019
209,66903,Phleum alpinum,3117,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",20.5601,mm2 mg-1,GLORIA network 2019
210,66903,Phleum alpinum,47,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",233.7447,mg g-1,LEFE Toulouse field campaign 2022
211,66903,Phleum alpinum,47,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",246.1463,mg g-1,GLORIA network 2019
212,66903,Phleum alpinum,14,Leaf nitrogen (N) content per leaf dry mass,26.0735,mg g-1,Alpine trait survey CNRS 2021
213,66903,Phleum alpinum,14,Leaf nitrogen (N) content per leaf dry mass,25.6182,mg g-1,GLORIA network 2019
