individual_id,species,population,river,habitat,TL_mm
Hopli_Xin_07,Hoplias_malabaricus,Xingu,Xingu,fast,481.049057231198
Hopli_Xin_08,Hoplias_malabaricus,Xingu,Xingu,fast,377.13933309087685
Hopli_Xin_09,Hoplias_malabaricus,Xingu,Xingu,fast,497.2922752884941
Hopli_Xin_10,Hoplias_malabaricus,Xingu,Xingu,fast,367.92227019312344
Hopli_Xin_11,Hoplias_malabaricus,Xingu,Xingu,fast,471.2359874003962
Hopli_Xin_12,Hoplias_malabaricus,Xingu,Xingu,fast,408.81692029922306
Hopli_Toc_01,Hoplias_malabaricus,Tocantins,Tocantins,slow,526.2935817060088
Hopli_Toc_02,Hoplias_malabaricus,Tocantins,Tocantins,slow,377.01456459010285
Hopli_Toc_03,Hoplias_malabaricus,Tocantins,Tocantins,slow,451.7019265793727
Hopli_Toc_04,Hoplias_malabaricus,Tocantins,Tocantins,slow,364.84996475237915
Hopli_Toc_05,Hoplias_malabaricus,Tocantins,Tocantins,slow,380.4903239519737
Hopli_Toc_06,Hoplias_malabaricus,Tocantins,Tocantins,slow,517.6828372224115
Hopli_Toc_07,Hoplias_malabaricus,Tocantins,Tocantins,slow,411.31171039028226
Hopli_Toc_08,Hoplias_malabaricus,Tocantins,Tocantins,slow,504.923517128874
Hopli_Toc_09,Hoplias_malabaricus,Tocantins,Tocantins,slow,460.0386298366723
Hopli_Toc_10,Hoplias_malabaricus,Tocantins,Tocantins,slow,396.6188636718712
Hopli_Toc_11,Hoplias_malabaricus,Tocantins,Tocantins,slow,501.7652681728648
Hopli_Toc_12,Hoplias_malabaricus,Tocantins,Tocantins,slow,483.54611540976117
Hopli_Neg_01,Hoplias_malabaricus,Negro,Negro,slow,425.72458404995075
Hopli_Neg_02,Hoplias_malabaricus,Negro,Negro,slow,470.2357650859942
Hopli_Neg_03,Hoplias_malabaricus,Negro,Negro,slow,359.6093144204308
Hopli_Neg_04,Hoplias_malabaricus,Negro,Negro,slow,534.981391807482
Hopli_Neg_05,Hoplias_malabaricus,Negro,Negro,slow,527.3754125577825
Hopli_Neg_06,Hoplias_malabaricus,Negro,Negro,slow,424.6275085654318
Hopli_Neg_07,Hoplias_malabaricus,Negro,Negro,slow,390.15882680696797
Hopli_Neg_08,Hoplias_malabaricus,Negro,Negro,slow,365.8355891510893
Hopli_Neg_09,Hoplias_malabaricus,Negro,Negro,slow,510.21482645327467
Hopli_Neg_10,Hoplias_malabaricus,Negro,Negro,slow,430.54607273015927
Hopli_Neg_11,Hoplias_malabaricus,Negro,Negro,slow,518.0809879563203
Hopli_Neg_12,Hoplias_malabaricus,Negro,Negro,slow,443.64068606968027
Astya_Tap_01,Astyanax_bimaculatus,Tapajos,Tapajos,fast,97.76484656495555
Astya_Tap_02,Astyanax_bimaculatus,Tapajos,Tapajos,fast,121.05481172781188
Astya_Tap_03,Astyanax_bimaculatus,Tapajos,Tapajos,fast,107.80627446004513
Astya_Tap_04,Astyanax_bimaculatus,Tapajos,Tapajos,fast,143.19593822064354
Astya_Tap_05,Astyanax_bimaculatus,Tapajos,Tapajos,fast,122.06506372188312
Astya_Tap_06,Astyanax_bimaculatus,Tapajos,Tapajos,fast,134.47309338779172
Astya_Tap_07,Astyanax_bimaculatus,Tapajos,Tapajos,fast,96.30745666111554
Astya_Tap_08,Astyanax_bimaculatus,Tapajos,Tapajos,fast,142.4209247600722
Astya_Tap_09,Astyanax_bimaculatus,Tapajos,Tapajos,fast,123.42963575880918
Astya_Tap_10,Astyanax_bimaculatus,Tapajos,Tapajos,fast,98.92197250302499
Astya_Tap_11,Astyanax_bimaculatus,Tapajos,Tapajos,fast,102.5471354028968
Astya_Tap_12,Astyanax_bimaculatus,Tapajos,Tapajos,fast,111.80933267634636
Astya_Xin_01,Astyanax_bimaculatus,Xingu,Xingu,fast,102.16456838912947
Astya_Xin_02,Astyanax_bimaculatus,Xingu,Xingu,fast,127.23514182172931
Astya_Xin_03,Astyanax_bimaculatus,Xingu,Xingu,fast,99.24610426308313
Astya_Xin_04,Astyanax_bimaculatus,Xingu,Xingu,fast,141.18477797588142
Astya_Xin_05,Astyanax_bimaculatus,Xingu,Xingu,fast,141.91171764712902
Astya_Xin_06,Astyanax_bimaculatus,Xingu,Xingu,fast,97.40768195524552
Astya_Xin_07,Astyanax_bimaculatus,Xingu,Xingu,fast,99.80574964309747
Astya_Xin_08,Astyanax_bimaculatus,Xingu,Xingu,fast,123.59008607302718
Astya_Xin_09,Astyanax_bimaculatus,Xingu,Xingu,fast,124.00441184903028
Astya_Xin_10,Astyanax_bimaculatus,Xingu,Xingu,fast,97.02178543494504
Astya_Xin_11,Astyanax_bimaculatus,Xingu,Xingu,fast,102.77638943112551
Astya_Xin_12,Astyanax_bimaculatus,Xingu,Xingu,fast,105.0623429932979
Astya_Toc_01,Astyanax_bimaculatus,Tocantins,Tocantins,slow,135.21671686279507
Astya_Toc_02,Astyanax_bimaculatus,Tocantins,Tocantins,slow,136.76542124489154
Astya_Toc_03,Astyanax_bimaculatus,Tocantins,Tocantins,slow,110.16064995838818
Astya_Toc_04,Astyanax_bimaculatus,Tocantins,Tocantins,slow,127.49902998904496
Astya_Toc_05,Astyanax_bimaculatus,Tocantins,Tocantins,slow,143.82700006050928
Astya_Toc_06,Astyanax_bimaculatus,Tocantins,Tocantins,slow,130.72173434787382
Astya_Toc_07,Astyanax_bimaculatus,Tocantins,Tocantins,slow,95.95127372343534
Astya_Toc_08,Astyanax_bimaculatus,Tocantins,Tocantins,slow,102.17374592745838
Astya_Toc_09,Astyanax_bimaculatus,Tocantins,Tocantins,slow,124.564935851033
Astya_Toc_10,Astyanax_bimaculatus,Tocantins,Tocantins,slow,107.35451539760834
Astya_Toc_11,Astyanax_bimaculatus,Tocantins,Tocantins,slow,94.84761836544297
Astya_Toc_12,Astyanax_bimaculatus,Tocantins,Tocantins,slow,123.38172317897794
Astya_Neg_01,Astyanax_bimaculatus,Negro,Negro,slow,122.915734763995
Astya_Neg_02,Astyanax_bimaculatus,Negro,Negro,slow,111.461310297441
Astya_Neg_03,Astyanax_bimaculatus,Negro,Negro,slow,94.39317634906494
Astya_Neg_04,Astyanax_bimaculatus,Negro,Negro,slow,143.78327663054878
Astya_Neg_05,Astyanax_bimaculatus,Negro,Negro,slow,126.56810099282157
Astya_Neg_06,Astyanax_bimaculatus,Negro,Negro,slow,103.38421995096212
Astya_Neg_07,Astyanax_bimaculatus,Negro,Negro,slow,143.87721457261273
Astya_Neg_08,Astyanax_bimaculatus,Negro,Negro,slow,94.34321360535893
Astya_Neg_09,Astyanax_bimaculatus,Negro,Negro,slow,108.77706253137765
Astya_Neg_10,Astyanax_bimaculatus,Negro,Negro,slow,141.59388926550653
Astya_Neg_11,Astyanax_bimaculatus,Negro,Negro,slow,138.8286314623246
Astya_Neg_12,Astyanax_bimaculatus,Negro,Negro,slow,138.17418822029734
Hypos_Tap_01,Hypostomus_plecostomus,Tapajos,Tapajos,fast,407.85078945845214
Hypos_Tap_02,Hypostomus_plecostomus,Tapajos,Tapajos,fast,306.3387646858618
Hypos_Tap_03,Hypostomus_plecostomus,Tapajos,Tapajos,fast,286.6299033130051
Hypos_Tap_04,Hypostomus_plecostomus,Tapajos,Tapajos,fast,359.6144935585078
Hypos_Tap_05,Hypostomus_plecostomus,Tapajos,Tapajos,fast,372.1147241092411
Hypos_Tap_06,Hypostomus_plecostomus,Tapajos,Tapajos,fast,342.83354026731075
Hypos_Tap_07,Hypostomus_plecostomus,Tapajos,Tapajos,fast,293.77374589722774
Hypos_Tap_08,Hypostomus_plecostomus,Tapajos,Tapajos,fast,343.75115055474794
Hypos_Tap_09,Hypostomus_plecostomus,Tapajos,Tapajos,fast,290.7626649777761
Hypos_Tap_10,Hypostomus_plecostomus,Tapajos,Tapajos,fast,295.48130385292666
Hypos_Tap_11,Hypostomus_plecostomus,Tapajos,Tapajos,fast,381.22218787031363
Hypos_Tap_12,Hypostomus_plecostomus,Tapajos,Tapajos,fast,326.3285758019288
Hypos_Xin_01,Hypostomus_plecostomus,Xingu,Xingu,fast,360.91324982818924
Hypos_Xin_02,Hypostomus_plecostomus,Xingu,Xingu,fast,289.3479978316093
Hypos_Xin_03,Hypostomus_plecostomus,Xingu,Xingu,fast,322.26220950718164
Hypos_Xin_04,Hypostomus_plecostomus,Xingu,Xingu,fast,364.1307213765607
Hypos_Xin_05,Hypostomus_plecostomus,Xingu,Xingu,fast,287.74460302192847
Hypos_Xin_06,Hypostomus_plecostomus,Xingu,Xingu,fast,283.1413536026072
Hypos_Xin_07,Hypostomus_plecostomus,Xingu,Xingu,fast,335.54896272378573
Hypos_Xin_08,Hypostomus_plecostomus,Xingu,Xingu,fast,385.9399299300559
Hypos_Xin_09,Hypostomus_plecostomus,Xingu,Xingu,fast,383.5764296313316
Hypos_Xin_10,Hypostomus_plecostomus,Xingu,Xingu,fast,305.9788432706092
Hypos_Xin_11,Hypostomus_plecostomus,Xingu,Xingu,fast,287.9094671425776
Hypos_Xin_12,Hypostomus_plecostomus,Xingu,Xingu,fast,361.82527208118364
Hypos_Toc_01,Hypostomus_plecostomus,Tocantins,Tocantins,slow,391.06630432232527
Hypos_Toc_02,Hypostomus_plecostomus,Tocantins,Tocantins,slow,384.2443586907239
Hypos_Toc_03,Hypostomus_plecostomus,Tocantins,Tocantins,slow,361.1442481182687
Hypos_Toc_04,Hypostomus_plecostomus,Tocantins,Tocantins,slow,386.90379331646255
Hypos_Toc_05,Hypostomus_plecostomus,Tocantins,Tocantins,slow,288.35892020632747
Hypos_Toc_06,Hypostomus_plecostomus,Tocantins,Tocantins,slow,301.3333431551507
Hypos_Toc_07,Hypostomus_plecostomus,Tocantins,Tocantins,slow,326.9410010924998
Hypos_Toc_08,Hypostomus_plecostomus,Tocantins,Tocantins,slow,350.86197507188285
Hypos_Toc_09,Hypostomus_plecostomus,Tocantins,Tocantins,slow,417.4282647708392
Hypos_Toc_10,Hypostomus_plecostomus,Tocantins,Tocantins,slow,296.96612345434465
Hypos_Toc_11,Hypostomus_plecostomus,Tocantins,Tocantins,slow,296.3528671324282
Hypos_Toc_12,Hypostomus_plecostomus,Tocantins,Tocantins,slow,280.8296565896422
Hypos_Neg_01,Hypostomus_plecostomus,Negro,Negro,slow,380.12912145820826
Hypos_Neg_02,Hypostomus_plecostomus,Negro,Negro,slow,384.814289428567
Hypos_Neg_03,Hypostomus_plecostomus,Negro,Negro,slow,365.6219032531524
Hypos_Neg_04,Hypostomus_plecostomus,Negro,Negro,slow,383.91750143977674
Hypos_Neg_05,Hypostomus_plecostomus,Negro,Negro,slow,378.6330922202534
Hypos_Neg_06,Hypostomus_plecostomus,Negro,Negro,slow,324.60912519904304
Hypos_Neg_07,Hypostomus_plecostomus,Negro,Negro,slow,312.0215736750868
Hypos_Neg_08,Hypostomus_plecostomus,Negro,Negro,slow,374.12806165828476
Hypos_Neg_09,Hypostomus_plecostomus,Negro,Negro,slow,348.71330952151027
Hypos_Neg_10,Hypostomus_plecostomus,Negro,Negro,slow,310.7331863865209
Hypos_Neg_11,Hypostomus_plecostomus,Negro,Negro,slow,383.31238673358496
Hypos_Neg_12,Hypostomus_plecostomus,Negro,Negro,slow,307.83548938194764
Tripo_Tap_01,Triportheus_angulatus,Tapajos,Tapajos,fast,166.90609335827784
Tripo_Tap_02,Triportheus_angulatus,Tapajos,Tapajos,fast,177.96504232002138
Tripo_Tap_03,Triportheus_angulatus,Tapajos,Tapajos,fast,151.42235810817567
Tripo_Tap_04,Triportheus_angulatus,Tapajos,Tapajos,fast,177.86303331092202
Tripo_Tap_05,Triportheus_angulatus,Tapajos,Tapajos,fast,170.46198065132157
Tripo_Tap_06,Triportheus_angulatus,Tapajos,Tapajos,fast,167.28686073373854
Tripo_Tap_07,Triportheus_angulatus,Tapajos,Tapajos,fast,159.51677968084098
Tripo_Tap_08,Triportheus_angulatus,Tapajos,Tapajos,fast,186.83531461354053
Tripo_Tap_09,Triportheus_angulatus,Tapajos,Tapajos,fast,139.82153770566168
Tripo_Tap_10,Triportheus_angulatus,Tapajos,Tapajos,fast,159.5290195547222
Tripo_Tap_11,Triportheus_angulatus,Tapajos,Tapajos,fast,204.645716648995
Tripo_Tap_12,Triportheus_angulatus,Tapajos,Tapajos,fast,212.34799425581724
Tripo_Xin_01,Triportheus_angulatus,Xingu,Xingu,fast,140.9305489187439
Tripo_Xin_02,Triportheus_angulatus,Xingu,Xingu,fast,159.16238466685388
Tripo_Xin_03,Triportheus_angulatus,Xingu,Xingu,fast,160.0216429008313
Tripo_Xin_04,Triportheus_angulatus,Xingu,Xingu,fast,186.3462843746174
Tripo_Xin_05,Triportheus_angulatus,Xingu,Xingu,fast,160.79046695419296
Tripo_Xin_06,Triportheus_angulatus,Xingu,Xingu,fast,169.98086969244994
Tripo_Xin_07,Triportheus_angulatus,Xingu,Xingu,fast,175.80539448334181
Tripo_Xin_08,Triportheus_angulatus,Xingu,Xingu,fast,175.73308992886294
Tripo_Xin_09,Triportheus_angulatus,Xingu,Xingu,fast,140.69683834343775
Tripo_Xin_10,Triportheus_angulatus,Xingu,Xingu,fast,178.74788637716557
Tripo_Xin_11,Triportheus_angulatus,Xingu,Xingu,fast,156.74772917669563
Tripo_Xin_12,Triportheus_angulatus,Xingu,Xingu,fast,183.7149014701065
Tripo_Toc_01,Triportheus_angulatus,Tocantins,Tocantins,slow,139.088879020011
Tripo_Toc_02,Triportheus_angulatus,Tocantins,Tocantins,slow,191.38198640416272
Tripo_Toc_03,Triportheus_angulatus,Tocantins,Tocantins,slow,145.60142908068593
Tripo_Toc_04,Triportheus_angulatus,Tocantins,Tocantins,slow,197.29181073404615
Tripo_Toc_05,Triportheus_angulatus,Tocantins,Tocantins,slow,207.12729430909508
Tripo_Toc_06,Triportheus_angulatus,Tocantins,Tocantins,slow,138.521951052324
Tripo_Toc_07,Triportheus_angulatus,Tocantins,Tocantins,slow,199.5857451090955
Tripo_Toc_08,Triportheus_angulatus,Tocantins,Tocantins,slow,200.52625860170622
Tripo_Toc_09,Triportheus_angulatus,Tocantins,Tocantins,slow,206.07894129134692
Tripo_Toc_10,Triportheus_angulatus,Tocantins,Tocantins,slow,175.22654052678274
Tripo_Toc_11,Triportheus_angulatus,Tocantins,Tocantins,slow,194.6206048352168
Tripo_Toc_12,Triportheus_angulatus,Tocantins,Tocantins,slow,172.88028153128494
Tripo_Neg_01,Triportheus_angulatus,Negro,Negro,slow,178.71291847279952
Tripo_Neg_02,Triportheus_angulatus,Negro,Negro,slow,205.2610932221884
Tripo_Neg_03,Triportheus_angulatus,Negro,Negro,slow,142.4959811240023
Tripo_Neg_04,Triportheus_angulatus,Negro,Negro,slow,171.95438966034567
Tripo_Neg_05,Triportheus_angulatus,Negro,Negro,slow,160.7292060247191
Tripo_Neg_06,Triportheus_angulatus,Negro,Negro,slow,172.52726252239853
Tripo_Neg_07,Triportheus_angulatus,Negro,Negro,slow,188.62033989106195
Tripo_Neg_08,Triportheus_angulatus,Negro,Negro,slow,182.3016398265218
Tripo_Neg_09,Triportheus_angulatus,Negro,Negro,slow,200.7542223343694
Tripo_Neg_10,Triportheus_angulatus,Negro,Negro,slow,144.7805281074709
Tripo_Neg_11,Triportheus_angulatus,Negro,Negro,slow,152.34701743076135
Tripo_Neg_12,Triportheus_angulatus,Negro,Negro,slow,184.3514726659782
