species,PFT,population_id,population_elevation,individual_id,SLA,LDMC,LeafN,Height
Sesleria_caerulea,PFT_stress,Ses_8,2800.0,Ses_8_I2,7.85,357.6,13.52,6.0
Sesleria_caerulea,PFT_stress,Ses_8,2800.0,Ses_8_I3,6.21,363.2,13.17,6.1
Sesleria_caerulea,PFT_stress,Ses_8,2800.0,Ses_8_I4,6.93,372.0,13.16,6.6
Sesleria_caerulea,PFT_stress,Ses_8,2800.0,Ses_8_I5,7.91,375.6,12.46,5.4
Festuca_rubra,PFT_grass,Fes_1,1443.0,Fes_1_I1,33.57,167.3,23.94,39.1
Festuca_rubra,PFT_grass,Fes_1,1443.0,Fes_1_I2,29.37,169.4,26.74,41.4
Festuca_rubra,PFT_grass,Fes_1,1443.0,Fes_1_I3,29.39,195.7,27.15,41.1
Festuca_rubra,PFT_grass,Fes_1,1443.0,Fes_1_I4,32.23,195.1,29.13,36.1
Festuca_rubra,PFT_grass,Fes_1,1443.0,Fes_1_I5,28.61,169.9,22.07,39.6
Festuca_rubra,PFT_grass,Fes_2,1557.0,Fes_2_I1,28.9,147.6,29.42,39.7
Festuca_rubra,PFT_grass,Fes_2,1557.0,Fes_2_I2,28.99,166.6,21.79,36.7
Festuca_rubra,PFT_grass,Fes_2,1557.0,Fes_2_I3,33.25,172.8,24.34,39.1
Festuca_rubra,PFT_grass,Fes_2,1557.0,Fes_2_I4,28.28,171.3,30.68,33.3
Festuca_rubra,PFT_grass,Fes_2,1557.0,Fes_2_I5,25.35,193.9,30.45,42.2
Festuca_rubra,PFT_grass,Fes_3,1671.0,Fes_3_I1,25.19,189.1,27.08,31.9
Festuca_rubra,PFT_grass,Fes_3,1671.0,Fes_3_I2,27.81,158.8,28.74,42.3
Festuca_rubra,PFT_grass,Fes_3,1671.0,Fes_3_I3,32.31,188.6,26.94,39.9
Festuca_rubra,PFT_grass,Fes_3,1671.0,Fes_3_I4,30.12,164.8,22.72,28.3
Festuca_rubra,PFT_grass,Fes_3,1671.0,Fes_3_I5,28.07,184.5,26.13,44.7
Festuca_rubra,PFT_grass,Fes_4,1786.0,Fes_4_I1,30.0,191.3,25.63,44.1
Festuca_rubra,PFT_grass,Fes_4,1786.0,Fes_4_I2,27.65,183.7,28.76,46.8
Festuca_rubra,PFT_grass,Fes_4,1786.0,Fes_4_I3,32.94,187.9,25.83,52.4
Festuca_rubra,PFT_grass,Fes_4,1786.0,Fes_4_I4,28.43,198.7,28.81,45.5
Festuca_rubra,PFT_grass,Fes_4,1786.0,Fes_4_I5,28.9,193.7,31.47,43.0
Festuca_rubra,PFT_grass,Fes_5,1900.0,Fes_5_I1,25.08,184.1,28.37,41.5
Festuca_rubra,PFT_grass,Fes_5,1900.0,Fes_5_I2,26.95,191.9,25.19,44.0
Festuca_rubra,PFT_grass,Fes_5,1900.0,Fes_5_I3,27.95,188.8,25.03,21.2
Festuca_rubra,PFT_grass,Fes_5,1900.0,Fes_5_I4,29.08,208.1,27.86,40.9
Festuca_rubra,PFT_grass,Fes_5,1900.0,Fes_5_I5,28.26,183.1,27.47,32.9
Festuca_rubra,PFT_grass,Fes_6,2014.0,Fes_6_I1,30.67,205.8,26.53,37.0
Festuca_rubra,PFT_grass,Fes_6,2014.0,Fes_6_I2,28.66,171.0,29.52,30.9
Festuca_rubra,PFT_grass,Fes_6,2014.0,Fes_6_I3,29.58,206.8,29.41,36.8
Festuca_rubra,PFT_grass,Fes_6,2014.0,Fes_6_I4,29.39,179.3,23.45,43.5
Festuca_rubra,PFT_grass,Fes_6,2014.0,Fes_6_I5,27.84,180.1,28.46,32.7
Festuca_rubra,PFT_grass,Fes_7,2128.0,Fes_7_I1,31.79,193.3,28.69,37.8
Festuca_rubra,PFT_grass,Fes_7,2128.0,Fes_7_I2,23.64,205.4,25.11,37.8
Festuca_rubra,PFT_grass,Fes_7,2128.0,Fes_7_I3,31.63,211.0,28.46,35.0
Festuca_rubra,PFT_grass,Fes_7,2128.0,Fes_7_I4,28.45,204.4,28.99,45.4
Festuca_rubra,PFT_grass,Fes_7,2128.0,Fes_7_I5,29.24,179.0,23.7,28.1
Festuca_rubra,PFT_grass,Fes_8,2243.0,Fes_8_I1,25.53,197.6,26.45,39.7
Festuca_rubra,PFT_grass,Fes_8,2243.0,Fes_8_I2,27.27,228.2,24.77,43.2
Festuca_rubra,PFT_grass,Fes_8,2243.0,Fes_8_I3,28.43,220.8,32.61,44.2
Festuca_rubra,PFT_grass,Fes_8,2243.0,Fes_8_I4,32.6,200.1,26.39,45.3
Festuca_rubra,PFT_grass,Fes_8,2243.0,Fes_8_I5,27.65,218.4,24.46,41.1
Poa_alpina,PFT_grass,Poa_1,1400.0,Poa_1_I1,31.24,218.6,27.26,18.1
Poa_alpina,PFT_grass,Poa_1,1400.0,Poa_1_I2,30.1,249.2,29.7,33.3
Poa_alpina,PFT_grass,Poa_1,1400.0,Poa_1_I3,31.63,210.4,26.08,32.3
Poa_alpina,PFT_grass,Poa_1,1400.0,Poa_1_I4,27.08,225.0,28.76,38.2
Poa_alpina,PFT_grass,Poa_1,1400.0,Poa_1_I5,32.56,196.9,22.84,34.8
Poa_alpina,PFT_grass,Poa_2,1400.0,Poa_2_I1,25.28,201.9,21.57,30.9
Poa_alpina,PFT_grass,Poa_2,1400.0,Poa_2_I2,26.78,219.2,25.82,39.6
Poa_alpina,PFT_grass,Poa_2,1400.0,Poa_2_I3,28.67,220.3,25.2,37.6
Poa_alpina,PFT_grass,Poa_2,1400.0,Poa_2_I4,30.06,220.7,27.8,36.8
Poa_alpina,PFT_grass,Poa_2,1400.0,Poa_2_I5,27.44,233.5,26.87,32.9
Poa_alpina,PFT_grass,Poa_3,1400.0,Poa_3_I1,22.91,214.1,30.15,26.9
Poa_alpina,PFT_grass,Poa_3,1400.0,Poa_3_I2,24.73,226.5,24.48,29.2
Poa_alpina,PFT_grass,Poa_3,1400.0,Poa_3_I3,30.74,213.7,28.11,28.5
Poa_alpina,PFT_grass,Poa_3,1400.0,Poa_3_I4,24.45,238.1,26.55,34.5
Poa_alpina,PFT_grass,Poa_3,1400.0,Poa_3_I5,21.56,237.4,29.59,37.3
Poa_alpina,PFT_grass,Poa_4,1498.0,Poa_4_I1,24.48,226.0,25.93,29.7
Poa_alpina,PFT_grass,Poa_4,1498.0,Poa_4_I2,26.9,193.8,29.53,38.1
Poa_alpina,PFT_grass,Poa_4,1498.0,Poa_4_I3,27.82,200.4,26.22,31.5
Poa_alpina,PFT_grass,Poa_4,1498.0,Poa_4_I4,27.55,218.9,24.9,38.0
Poa_alpina,PFT_grass,Poa_4,1498.0,Poa_4_I5,25.92,236.4,24.96,32.2
Poa_alpina,PFT_grass,Poa_5,1613.0,Poa_5_I1,28.92,229.5,29.72,30.3
Poa_alpina,PFT_grass,Poa_5,1613.0,Poa_5_I2,21.14,230.6,26.43,27.9
Poa_alpina,PFT_grass,Poa_5,1613.0,Poa_5_I3,27.81,233.3,28.99,32.5
Poa_alpina,PFT_grass,Poa_5,1613.0,Poa_5_I4,27.16,206.9,28.93,34.0
Poa_alpina,PFT_grass,Poa_5,1613.0,Poa_5_I5,28.01,230.1,26.53,39.4
Poa_alpina,PFT_grass,Poa_6,1727.0,Poa_6_I1,23.49,242.8,28.53,36.1
Poa_alpina,PFT_grass,Poa_6,1727.0,Poa_6_I2,24.1,237.2,26.33,25.3
Poa_alpina,PFT_grass,Poa_6,1727.0,Poa_6_I3,24.47,212.8,28.5,31.1
Poa_alpina,PFT_grass,Poa_6,1727.0,Poa_6_I4,27.47,238.6,26.03,32.9
Poa_alpina,PFT_grass,Poa_6,1727.0,Poa_6_I5,28.51,230.0,29.18,35.4
Poa_alpina,PFT_grass,Poa_7,1841.0,Poa_7_I1,25.18,222.7,30.52,36.3
Poa_alpina,PFT_grass,Poa_7,1841.0,Poa_7_I2,22.61,253.9,25.92,33.1
Poa_alpina,PFT_grass,Poa_7,1841.0,Poa_7_I3,26.3,230.3,23.38,35.1
Poa_alpina,PFT_grass,Poa_7,1841.0,Poa_7_I4,27.35,224.7,24.97,35.2
Poa_alpina,PFT_grass,Poa_7,1841.0,Poa_7_I5,28.12,241.7,28.81,33.5
Poa_alpina,PFT_grass,Poa_8,1955.0,Poa_8_I1,25.55,240.6,24.11,35.1
Poa_alpina,PFT_grass,Poa_8,1955.0,Poa_8_I2,24.55,247.5,26.82,41.4
Poa_alpina,PFT_grass,Poa_8,1955.0,Poa_8_I3,23.33,240.6,21.22,32.2
Poa_alpina,PFT_grass,Poa_8,1955.0,Poa_8_I4,24.55,230.1,27.43,37.7
Poa_alpina,PFT_grass,Poa_8,1955.0,Poa_8_I5,26.81,260.4,24.17,31.8
Nardus_stricta,PFT_grass,Nar_1,1400.0,Nar_1_I1,20.75,236.7,27.06,47.1
Nardus_stricta,PFT_grass,Nar_1,1400.0,Nar_1_I2,17.99,222.8,32.04,34.6
Nardus_stricta,PFT_grass,Nar_1,1400.0,Nar_1_I3,21.93,229.9,32.68,37.0
Nardus_stricta,PFT_grass,Nar_1,1400.0,Nar_1_I4,20.09,221.2,30.56,34.6
Nardus_stricta,PFT_grass,Nar_1,1400.0,Nar_1_I5,19.02,229.0,34.33,34.0
Nardus_stricta,PFT_grass,Nar_2,1482.0,Nar_2_I1,21.94,221.8,32.56,29.7
Nardus_stricta,PFT_grass,Nar_2,1482.0,Nar_2_I2,21.04,227.4,32.75,27.8
Nardus_stricta,PFT_grass,Nar_2,1482.0,Nar_2_I3,18.41,224.8,33.27,32.8
Nardus_stricta,PFT_grass,Nar_2,1482.0,Nar_2_I4,18.62,221.5,26.34,29.1
Nardus_stricta,PFT_grass,Nar_2,1482.0,Nar_2_I5,19.73,226.8,32.1,38.5
Nardus_stricta,PFT_grass,Nar_3,1596.0,Nar_3_I1,21.94,227.1,26.38,30.2
Nardus_stricta,PFT_grass,Nar_3,1596.0,Nar_3_I2,16.44,240.6,29.21,27.3
Nardus_stricta,PFT_grass,Nar_3,1596.0,Nar_3_I3,20.27,234.1,27.01,42.2
Nardus_stricta,PFT_grass,Nar_3,1596.0,Nar_3_I4,18.88,242.1,29.29,39.2
Nardus_stricta,PFT_grass,Nar_3,1596.0,Nar_3_I5,20.3,218.0,27.42,42.9
Nardus_stricta,PFT_grass,Nar_4,1710.0,Nar_4_I1,17.54,227.0,27.56,34.4
Nardus_stricta,PFT_grass,Nar_4,1710.0,Nar_4_I2,18.82,233.1,34.4,40.1
Nardus_stricta,PFT_grass,Nar_4,1710.0,Nar_4_I3,17.5,254.5,35.05,33.3
Nardus_stricta,PFT_grass,Nar_4,1710.0,Nar_4_I4,20.52,240.9,27.43,37.9
Nardus_stricta,PFT_grass,Nar_4,1710.0,Nar_4_I5,19.03,230.7,32.55,27.9
Nardus_stricta,PFT_grass,Nar_5,1825.0,Nar_5_I1,20.27,219.9,31.47,27.4
Nardus_stricta,PFT_grass,Nar_5,1825.0,Nar_5_I2,19.32,241.3,27.83,33.4
Nardus_stricta,PFT_grass,Nar_5,1825.0,Nar_5_I3,19.41,232.5,34.52,33.0
Nardus_stricta,PFT_grass,Nar_5,1825.0,Nar_5_I4,18.33,229.4,28.84,39.8
Nardus_stricta,PFT_grass,Nar_5,1825.0,Nar_5_I5,21.04,239.7,29.89,41.2
Nardus_stricta,PFT_grass,Nar_6,1939.0,Nar_6_I1,18.09,248.3,33.05,34.6
Nardus_stricta,PFT_grass,Nar_6,1939.0,Nar_6_I2,18.74,248.9,31.24,41.9
Nardus_stricta,PFT_grass,Nar_6,1939.0,Nar_6_I3,19.07,240.1,25.75,40.2
Nardus_stricta,PFT_grass,Nar_6,1939.0,Nar_6_I4,19.3,243.8,29.65,41.0
Nardus_stricta,PFT_grass,Nar_6,1939.0,Nar_6_I5,20.65,253.8,33.24,31.2
Nardus_stricta,PFT_grass,Nar_7,2053.0,Nar_7_I1,16.97,265.9,27.39,26.4
Nardus_stricta,PFT_grass,Nar_7,2053.0,Nar_7_I2,18.09,241.2,28.54,47.0
Nardus_stricta,PFT_grass,Nar_7,2053.0,Nar_7_I3,16.11,249.4,27.34,38.9
Nardus_stricta,PFT_grass,Nar_7,2053.0,Nar_7_I4,20.67,259.0,26.4,33.6
Nardus_stricta,PFT_grass,Nar_7,2053.0,Nar_7_I5,19.88,272.1,30.22,43.1
Nardus_stricta,PFT_grass,Nar_8,2167.0,Nar_8_I1,17.41,260.6,28.15,34.0
Nardus_stricta,PFT_grass,Nar_8,2167.0,Nar_8_I2,18.35,266.0,30.28,41.0
Nardus_stricta,PFT_grass,Nar_8,2167.0,Nar_8_I3,17.76,248.7,29.22,28.8
Nardus_stricta,PFT_grass,Nar_8,2167.0,Nar_8_I4,19.12,254.9,30.48,40.4
Nardus_stricta,PFT_grass,Nar_8,2167.0,Nar_8_I5,17.16,289.6,31.59,40.3
Vaccinium_myrtillus,PFT_shrub,Vac_1,1400.0,Vac_1_I1,18.01,183.1,16.68,19.2
Vaccinium_myrtillus,PFT_shrub,Vac_1,1400.0,Vac_1_I2,15.81,199.1,20.44,21.2
Vaccinium_myrtillus,PFT_shrub,Vac_1,1400.0,Vac_1_I3,19.15,186.5,19.67,22.9
Vaccinium_myrtillus,PFT_shrub,Vac_1,1400.0,Vac_1_I4,20.01,202.9,19.75,23.3
Vaccinium_myrtillus,PFT_shrub,Vac_1,1400.0,Vac_1_I5,21.09,176.0,24.8,15.7
Vaccinium_myrtillus,PFT_shrub,Vac_2,1498.0,Vac_2_I1,19.09,177.3,18.16,20.4
Vaccinium_myrtillus,PFT_shrub,Vac_2,1498.0,Vac_2_I2,21.04,194.9,22.17,18.5
Vaccinium_myrtillus,PFT_shrub,Vac_2,1498.0,Vac_2_I3,17.98,179.0,20.29,20.6
Vaccinium_myrtillus,PFT_shrub,Vac_2,1498.0,Vac_2_I4,17.76,188.3,17.12,21.1
Vaccinium_myrtillus,PFT_shrub,Vac_2,1498.0,Vac_2_I5,16.14,201.0,22.9,16.2
Vaccinium_myrtillus,PFT_shrub,Vac_3,1612.0,Vac_3_I1,19.53,206.5,21.05,19.8
Vaccinium_myrtillus,PFT_shrub,Vac_3,1612.0,Vac_3_I2,20.23,201.2,17.15,24.6
Vaccinium_myrtillus,PFT_shrub,Vac_3,1612.0,Vac_3_I3,16.84,223.1,21.0,23.2
Vaccinium_myrtillus,PFT_shrub,Vac_3,1612.0,Vac_3_I4,18.69,199.5,20.84,19.4
Vaccinium_myrtillus,PFT_shrub,Vac_3,1612.0,Vac_3_I5,17.75,203.5,24.48,16.4
Vaccinium_myrtillus,PFT_shrub,Vac_4,1726.0,Vac_4_I1,18.0,199.4,23.75,18.0
Vaccinium_myrtillus,PFT_shrub,Vac_4,1726.0,Vac_4_I2,18.34,198.7,22.69,22.2
Vaccinium_myrtillus,PFT_shrub,Vac_4,1726.0,Vac_4_I3,16.82,228.7,20.84,22.4
Vaccinium_myrtillus,PFT_shrub,Vac_4,1726.0,Vac_4_I4,18.33,188.3,21.01,22.5
Vaccinium_myrtillus,PFT_shrub,Vac_4,1726.0,Vac_4_I5,18.68,234.4,22.37,21.0
Vaccinium_myrtillus,PFT_shrub,Vac_5,1840.0,Vac_5_I1,18.84,178.3,22.02,16.2
Vaccinium_myrtillus,PFT_shrub,Vac_5,1840.0,Vac_5_I2,17.0,196.4,19.26,20.3
Vaccinium_myrtillus,PFT_shrub,Vac_5,1840.0,Vac_5_I3,18.34,190.9,20.72,20.5
Vaccinium_myrtillus,PFT_shrub,Vac_5,1840.0,Vac_5_I4,15.27,224.2,20.26,20.8
Vaccinium_myrtillus,PFT_shrub,Vac_5,1840.0,Vac_5_I5,16.37,187.6,21.72,21.7
Vaccinium_myrtillus,PFT_shrub,Vac_6,1955.0,Vac_6_I1,16.79,193.3,23.43,21.0
Vaccinium_myrtillus,PFT_shrub,Vac_6,1955.0,Vac_6_I2,20.18,188.4,22.6,20.0
Vaccinium_myrtillus,PFT_shrub,Vac_6,1955.0,Vac_6_I3,18.08,208.1,18.99,20.8
Vaccinium_myrtillus,PFT_shrub,Vac_6,1955.0,Vac_6_I4,17.43,229.8,20.61,19.4
Vaccinium_myrtillus,PFT_shrub,Vac_6,1955.0,Vac_6_I5,17.23,189.4,20.61,20.3
Vaccinium_myrtillus,PFT_shrub,Vac_7,2069.0,Vac_7_I1,17.08,202.3,18.19,21.5
Vaccinium_myrtillus,PFT_shrub,Vac_7,2069.0,Vac_7_I2,15.78,186.7,21.14,19.1
Vaccinium_myrtillus,PFT_shrub,Vac_7,2069.0,Vac_7_I3,16.12,228.5,19.96,22.6
Vaccinium_myrtillus,PFT_shrub,Vac_7,2069.0,Vac_7_I4,17.61,211.8,19.66,24.3
Vaccinium_myrtillus,PFT_shrub,Vac_7,2069.0,Vac_7_I5,16.66,221.0,17.8,20.1
Vaccinium_myrtillus,PFT_shrub,Vac_8,2183.0,Vac_8_I1,16.89,203.6,21.35,18.0
Vaccinium_myrtillus,PFT_shrub,Vac_8,2183.0,Vac_8_I2,19.09,219.0,19.56,18.4
Vaccinium_myrtillus,PFT_shrub,Vac_8,2183.0,Vac_8_I3,14.49,204.1,19.27,20.2
Vaccinium_myrtillus,PFT_shrub,Vac_8,2183.0,Vac_8_I4,19.01,221.0,23.1,19.5
Vaccinium_myrtillus,PFT_shrub,Vac_8,2183.0,Vac_8_I5,14.97,214.9,24.18,21.8
Gentiana_nivalis,PFT_geophyte,Gen_1,1541.0,Gen_1_I1,21.91,211.5,27.61,26.1
Gentiana_nivalis,PFT_geophyte,Gen_1,1541.0,Gen_1_I2,21.2,227.3,23.88,24.8
Gentiana_nivalis,PFT_geophyte,Gen_1,1541.0,Gen_1_I3,25.28,206.6,31.74,26.9
Gentiana_nivalis,PFT_geophyte,Gen_1,1541.0,Gen_1_I4,21.46,178.9,23.93,19.9
Gentiana_nivalis,PFT_geophyte,Gen_1,1541.0,Gen_1_I5,23.85,208.0,28.48,21.8
Gentiana_nivalis,PFT_geophyte,Gen_2,1655.0,Gen_2_I1,24.4,246.1,27.89,19.0
Gentiana_nivalis,PFT_geophyte,Gen_2,1655.0,Gen_2_I2,23.35,227.9,30.48,22.2
Gentiana_nivalis,PFT_geophyte,Gen_2,1655.0,Gen_2_I3,21.21,212.8,27.0,27.1
Gentiana_nivalis,PFT_geophyte,Gen_2,1655.0,Gen_2_I4,21.89,217.9,26.75,27.1
Gentiana_nivalis,PFT_geophyte,Gen_2,1655.0,Gen_2_I5,22.7,220.8,26.16,24.1
Gentiana_nivalis,PFT_geophyte,Gen_3,1769.0,Gen_3_I1,23.65,187.1,26.34,21.4
Gentiana_nivalis,PFT_geophyte,Gen_3,1769.0,Gen_3_I2,20.86,221.2,27.24,25.8
Gentiana_nivalis,PFT_geophyte,Gen_3,1769.0,Gen_3_I3,25.16,203.9,25.97,25.0
Gentiana_nivalis,PFT_geophyte,Gen_3,1769.0,Gen_3_I4,22.54,244.5,24.65,24.9
Gentiana_nivalis,PFT_geophyte,Gen_3,1769.0,Gen_3_I5,20.7,234.3,30.1,23.9
Gentiana_nivalis,PFT_geophyte,Gen_4,1883.0,Gen_4_I1,22.31,191.9,24.91,22.0
Gentiana_nivalis,PFT_geophyte,Gen_4,1883.0,Gen_4_I2,16.46,215.6,26.46,25.8
Gentiana_nivalis,PFT_geophyte,Gen_4,1883.0,Gen_4_I3,19.69,237.8,26.9,27.4
Gentiana_nivalis,PFT_geophyte,Gen_4,1883.0,Gen_4_I4,24.52,250.0,28.12,22.5
Gentiana_nivalis,PFT_geophyte,Gen_4,1883.0,Gen_4_I5,24.2,222.8,26.01,22.3
