species,individual_id,TL_mm,BD_mm,BW_mm,ED_mm,MH_mm,MW_mm,HMd_mm,PH_mm,PA_mm2,CFL_mm,CFA_mm2,CPL_mm,PFP_mm,BD_CP_mm
Boulengerella_cuvieri,Boule_03,761.3,89.56,45.93,19.0,17.33,20.79,76.13,35.4,1002.66,81.44,3158.38,320.43,40.3,31.35
Boulengerella_cuvieri,Boule_04,687.5,80.88,41.48,17.16,15.65,18.78,68.75,31.97,817.74,73.55,2575.89,289.37,36.4,28.31
Boulengerella_cuvieri,Boule_05,628.2,73.91,37.9,15.68,14.3,17.16,62.82,29.22,682.82,67.21,2150.89,264.43,33.26,25.87
Sorubim_lima,Sorub_01,491.0,79.19,68.86,11.75,18.24,21.88,43.55,28.69,783.84,36.0,1234.54,115.66,61.77,27.72
Sorubim_lima,Sorub_02,422.2,68.09,59.21,10.1,15.68,18.82,37.45,24.67,579.53,30.96,912.77,99.45,53.11,23.83
Sorubim_lima,Sorub_03,460.2,74.22,64.54,11.01,17.09,20.51,40.82,26.89,688.61,33.75,1084.57,108.41,57.89,25.98
Sorubim_lima,Sorub_04,419.5,67.65,58.83,10.03,15.58,18.7,37.21,24.51,572.15,30.76,901.14,98.82,52.77,23.68
Sorubim_lima,Sorub_05,396.0,63.88,55.55,9.47,14.71,17.65,35.13,23.14,510.03,29.04,803.3,93.3,49.82,22.36
Leporinus_fasciatus,Lepor_01,212.7,61.66,41.11,12.33,8.44,10.12,40.08,27.14,475.3,50.73,1354.59,136.82,33.91,21.58
Leporinus_fasciatus,Lepor_02,263.7,76.43,50.96,15.29,10.46,12.55,49.68,33.64,730.24,62.88,2081.2,169.59,42.04,26.75
Leporinus_fasciatus,Lepor_03,207.0,60.0,40.0,12.0,8.21,9.85,39.0,26.41,450.05,49.37,1282.65,133.14,33.0,21.0
Leporinus_fasciatus,Lepor_04,247.7,71.79,47.86,14.36,9.82,11.79,46.66,31.6,644.26,59.06,1836.14,159.29,39.49,25.13
Leporinus_fasciatus,Lepor_05,199.2,57.74,38.5,11.55,7.9,9.48,37.53,25.42,416.81,47.51,1187.9,128.12,31.76,20.21
Triportheus_angulatus,Tripo_01,196.9,69.08,31.4,16.92,12.2,14.64,55.27,34.97,596.56,76.28,2281.82,184.22,38.0,24.18
Triportheus_angulatus,Tripo_02,199.5,70.01,31.82,17.15,12.37,14.84,56.01,35.44,612.72,77.31,2343.64,186.7,38.51,24.5
Triportheus_angulatus,Tripo_03,202.1,70.9,32.23,17.37,12.52,15.03,56.72,35.89,628.34,78.29,2403.4,189.06,38.99,24.81
Triportheus_angulatus,Tripo_04,184.9,64.88,29.49,15.89,11.46,13.75,51.9,32.84,526.1,71.63,2012.33,173.0,35.68,22.71
Triportheus_angulatus,Tripo_05,141.8,49.75,22.61,12.19,8.79,10.54,39.8,25.19,309.41,54.94,1183.51,132.67,27.36,17.41
Mylossoma_duriventre,Mylos_01,236.8,175.41,97.45,37.21,29.39,35.27,87.7,75.95,3845.9,151.91,11537.69,443.75,105.24,61.39
Mylossoma_duriventre,Mylos_02,205.7,152.34,84.63,32.32,25.53,30.63,76.17,65.96,2900.83,131.93,8702.5,385.39,91.4,53.32
Mylossoma_duriventre,Mylos_03,218.4,161.8,89.89,34.32,27.11,32.53,80.9,70.06,3272.31,140.12,9816.94,409.32,97.08,56.63
Mylossoma_duriventre,Mylos_04,254.5,188.49,104.72,39.98,31.58,37.9,94.25,81.62,4441.07,163.24,13323.21,476.85,113.09,65.97
Mylossoma_duriventre,Mylos_05,259.7,192.35,106.86,40.8,32.23,38.68,96.18,83.29,4624.9,166.58,13874.71,486.62,115.41,67.32
