species,Realm,BL_mean,BD_ratio,HL_ratio,EyeD_ratio,MouthPos,FinArea_ratio,CaudalPed_ratio
Esox_lucius_EU,Palearctic,10.44,0.27,0.38,0.18,0.07,0.14,0.13
Perca_fluviatilis,Palearctic,74.99,0.41,0.36,0.09,0.16,0.31,0.2
Anguilla_anguilla,Palearctic,50.88,0.45,0.31,0.04,0.82,0.16,0.19
Rutilus_rutilus,Palearctic,75.42,0.16,0.2,0.05,0.55,0.15,0.18
Chondrostoma_nasus,Palearctic,58.82,0.19,0.31,0.08,0.49,0.32,0.22
Thymallus_thymallus,Palearctic,11.92,0.26,0.24,0.04,0.77,0.25,0.12
Silurus_glanis,Palearctic,60.59,0.3,0.27,0.04,0.08,0.32,0.23
Cyprinus_carpio_EU,Palearctic,45.92,0.4,0.3,0.06,0.13,0.16,0.23
Barbus_barbus,Palearctic,64.71,0.4,0.36,0.07,0.25,0.11,0.21
Oreochromis_niloticus,Ethiopian,71.31,0.25,0.3,0.06,0.93,0.31,0.25
Clarias_gariepinus,Ethiopian,65.81,0.41,0.18,0.14,0.33,0.33,0.22
Hydrocynus_vittatus,Ethiopian,69.8,0.39,0.23,0.15,0.11,0.32,0.23
Labeobarbus_intermedius,Ethiopian,21.68,0.39,0.27,0.08,0.8,0.14,0.08
Schilbe_mystus,Ethiopian,19.48,0.23,0.35,0.18,0.28,0.25,0.15
Synodontis_schall,Ethiopian,78.59,0.3,0.37,0.06,0.97,0.13,0.24
Mormyrus_kannume,Ethiopian,24.91,0.16,0.27,0.14,0.31,0.24,0.17
Tilapia_zillii,Ethiopian,33.89,0.31,0.23,0.14,0.0,0.33,0.17
Barbus_bynni,Ethiopian,58.96,0.36,0.31,0.09,0.07,0.26,0.14
Clarias_anguillaris,Ethiopian,28.54,0.4,0.32,0.08,0.31,0.19,0.15
Lates_niloticus,Ethiopian,27.17,0.16,0.26,0.17,0.68,0.32,0.18
Heterotis_niloticus,Ethiopian,27.57,0.3,0.18,0.08,0.43,0.24,0.19
Hyperopisus_bebe,Ethiopian,39.87,0.27,0.22,0.11,0.9,0.29,0.11
Citharinus_citharus,Ethiopian,11.36,0.29,0.31,0.09,0.82,0.28,0.19
Distichodus_niloticus,Ethiopian,21.85,0.19,0.18,0.07,0.48,0.31,0.09
Catla_catla,Oriental,36.08,0.33,0.22,0.14,0.49,0.15,0.19
Labeo_rohita,Oriental,5.42,0.37,0.33,0.05,0.43,0.13,0.24
Cirrhinus_mrigala,Oriental,43.85,0.14,0.23,0.16,0.46,0.3,0.19
Mystus_seenghala,Oriental,79.09,0.32,0.37,0.16,0.61,0.27,0.17
Wallago_attu,Oriental,67.29,0.3,0.36,0.14,0.47,0.15,0.12
Tor_tor,Oriental,52.82,0.37,0.28,0.13,0.27,0.1,0.13
Rita_rita,Oriental,25.38,0.23,0.29,0.06,0.23,0.27,0.2
Bagarius_bagarius,Oriental,9.82,0.25,0.29,0.1,0.21,0.19,0.23
Channa_marulius,Oriental,48.81,0.35,0.35,0.15,0.38,0.08,0.14
Notopterus_notopterus,Oriental,61.51,0.4,0.37,0.1,0.75,0.23,0.18
Mastacembelus_armatus,Oriental,21.54,0.19,0.27,0.04,0.34,0.26,0.15
Aorichthys_aor,Oriental,17.38,0.27,0.21,0.13,0.03,0.19,0.18
Bagarius_yarellii,Oriental,7.03,0.33,0.21,0.1,0.05,0.18,0.12
Crossocheilus_latius,Oriental,29.51,0.37,0.26,0.15,0.83,0.15,0.09
Garra_gotyla,Oriental,6.45,0.3,0.38,0.09,0.65,0.29,0.19
Gadopsis_marmoratus,Australian,61.57,0.43,0.22,0.04,0.15,0.11,0.19
Melanotaenia_splendida,Australian,47.3,0.19,0.32,0.15,0.17,0.24,0.21
Neoceratodus_forsteri,Australian,13.59,0.39,0.37,0.06,0.03,0.16,0.2
Maccullochella_peelii,Australian,76.86,0.25,0.32,0.05,0.69,0.25,0.1
Ambassis_agassizii,Australian,62.94,0.4,0.3,0.06,0.98,0.29,0.14
Philypnodon_grandiceps,Australian,37.13,0.24,0.28,0.09,0.85,0.3,0.1
Mogurnda_mogurnda,Australian,77.06,0.33,0.35,0.14,0.44,0.28,0.24
Tandanus_tandanus,Australian,25.26,0.39,0.29,0.11,0.44,0.28,0.13
Galaxias_maculatus,Australian,68.88,0.39,0.2,0.16,0.24,0.21,0.18
Gobiomorphus_cotidianus,Australian,33.42,0.13,0.35,0.07,0.21,0.3,0.14
Retropinna_retropinna,Australian,71.02,0.35,0.24,0.04,0.95,0.1,0.2
Prototroctes_oxyrhynchus,Australian,41.64,0.37,0.32,0.13,0.49,0.29,0.1
Hypseleotris_compressa,Australian,21.62,0.35,0.24,0.12,0.47,0.22,0.15
Anguilla_australis,Australian,60.95,0.23,0.32,0.08,0.25,0.11,0.11
Melanotaenia_duboulayi,Australian,13.97,0.3,0.33,0.07,0.22,0.21,0.2
